c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes
264,534,2,940,0,0,0,0,20,,,,,,,,27842,123,"Temple ID 138991 Location: 滕縣，縣西東郭村; Founding: 五代，金大足中修; Other: 有二寺"
264,535,2,1475,0,0,2,0,20,,,,,,,,27842,123,"Temple ID 138992 Location: 州南門外; Founding: 明成化中; Other: 数百年双桧成圣"
264,536,2,1450,0,0,0,0,20,,,,,,,,27842,123,"Temple ID 138993 Location: 府城東振頭岡，杞縣城西北文村; Founding: 明景泰一年; Other: 二寺"
264,537,2,0,0,0,0,0,20,,,,,,,,27842,123,"Temple ID 138994 Location: 膚施縣清涼山; Other: 尸毗的遗迹"
264,538,2,600,0,0,2,0,20,,,,,,,,27842,123,"Temple ID 139667 Location: 新昌縣南; Founding: 隋代; Other: 唐咸通中智滨驻锡"
264,589,2,1300,0,0,2,0,20,,,,,,,,27842,123,"Temple ID 140318 Location: 通海縣南秀山; Founding: 元铁牛"
265,590,2,,,,,,18,,,,,,,,9599,14387,"元代釋達益巴113432居大都慶壽寺"
265,591,2,800,0,0,2,0,20,,,,,,,,27842,49,"Temple ID 139380 Location: 州西; Founding: 唐代; Other: 俗名大佛寺"
266,592,1,1301,,,,18,18,,,,,,,,,,"from L.Walton: Cheng Jufu, 12.11a-12a (1304); Tianxia, 7.26b-28a, has this inscription under Shilin 石林 Academy [maybe this was a later name, since no Qingtian listed here under Jinxi county?]"
266,3779,1,1169,543,5,2,15,,,,,,,,,38278,305,"多个出處:宋代書院與宋代學術之關係P305;江西古代書院研究P107,220,226;元代書院之地理分佈P368."
267,593,1,,,,,18,18,,,,,,,,,,"from L.Walton: Zhao Wen 趙文, Qingshan ji 青山集 [e-SKQS ed], 3.4b-7a"
267,3123,1,1146,585,16,2,78,,,,,,,,,,,
267,3556,1,1300,625,4,2,18,,,,,,,,,38280,388,
268,594,1,,,,,18,18,,,,,,,,9599,3750,
268,3440,1,1269,558,5,2,15,,,,,,,,,38278,315,"多个出處:宋代書院與宋代學術之關係P315;元代書院之地理分佈P377;中國古代的書院制度P28."
268,3761,1,1075,573,5,2,78,,,,,,,,,38278,324,
269,595,1,,,,,18,18,,,,,,,,9599,10552,
269,3292,1,1215,608,8,0,17,,,,,,,,,38277,14;36,"多个出處:中國古代書院發展史P14,36;宋代書院與宋代學術之關係P334;中國古代的書院制度P28."
270,596,1,1350,,,2,18,18,,,,,,,,9599,13589,"from L.Walton: 大明一統志, 9.5b; Shu Di 舒頔 [1304-77], Zhensuzhai ji 真素齋集 [1838 Zhensuzhai jia zangshu ed.], 2.3a-4a [""Preface on Sending Off Hea大明一統志aster Dai to Pure Loyalty Academy""]."
271,597,1,1301,,,,18,18,,,,,,,,9599,6743,"from L.Walton: Liu Yueshen 劉岳申, Shenzhai Liu xiansheng wenji 申齋劉先生文集 [National Central Library 1970 Yuandai zhenben ed.], 6.16a-17a [Inscription on the Restoration of Qingzhou Academy]; Xu Youren, Zhizheng ji [e-SKQS], 36.10b-13a."
271,3636,1,1315,628,2,2,18,,,,,,,,,38280,386,"多个出處:元代書院之地理分佈P386;中國古代的書院制度P51;中國書院制度考略P21."
272,598,1,,,,,18,18,,,,,,,,9599,6179,
272,599,1,,,,,18,18,,,,,,,,9599,12512,
273,600,2,,,,,,18,,,,,,,,9599,14120,"元代釋行魁113174居居長洲陳湖 磧沙寺"
274,601,2,,,,,,18,,,,,,,,9599,14118,"元代釋行滿113172居仰山棲隱寺"
275,602,2,,,,,,18,,,,,,,,9599,14000,"元代釋士璋113060居棲真教寺"
276,603,1,,,,,18,18,,,,,,,,9599,4430,
276,3419,1,1269,558,5,2,15,,,,,,,,,38278,322,
276,3832,1,1267,558,3,0,15,,,,,,,,,38278,318,"多个出處:宋代書院與宋代學術之關係P318;元代書院之地理分佈P381;泉州古代書院P49."
277,604,1,,,,,18,18,,,,,,,,9599,9617,
277,3397,1,1279,623,16,2,18,,,,,,,,,38280,376,
278,605,2,250,,,,,18,,,,,,,,9599,13998,"元代釋力金113058居瑞光寺; Temple ID 139051 Location: 吳縣盤六內; Founding: 吴赤鸟中，性康; Other: 初名普济院，宋代今名康熙四十二年乾隆二十七年巡幸"
279,606,1,,,,,18,18,,,,,,,,9599,11700,
280,607,1,,,,,18,18,,,,,,,,9599,6009,
280,608,1,,,,,18,18,,,,,,,,9599,8933,
280,3375,1,1254,555,2,0,15,,,,,,,,,38278,317,"多个出處:宋代書院與宋代學術之關係P317;元代書院之地理分佈P380."
281,609,2,,,,,,18,,,,,,,,9599,13999,"元代釋于慶113059居元氏縣三聖院"
282,610,2,,,,,,18,,,,,,,,9599,14289,"元代釋智寬113335居嘉興三塔景德寺"
283,611,1,1262,,,,15,18,,,,,,,,9599,8314,"from L.Walton: 大明一統志 47.10b; Zhejiang tongzhi 27.29a-b"
283,3311,1,1226,593,1,2,78,,,,,,,,,38278,313,"多个出處:宋代書院與宋代學術之關係P313;元代書院之地理分佈P376."
283,3382,1,1262,557,3,2,15,,,,,,,,,38277,11;34,"多个出處:中國古代書院發展史P11,34;宋代書院與宋代學術之關係P312;元代書院之地理分佈P375;中國古代的書院制度P28,51;中國書院制度考略P21."
283,3749,1,1043,523,3,2,15,,,,,,,,,38278,335,"多个出處:宋代書院與宋代學術之關係P335;元代書院之地理分佈P407."
284,612,2,,,,,,18,,,,,,,,9599,14228,"元代釋淨真113276居杭州上天竺寺"
285,613,2,,,,,,18,,,,,,,,9599,14210,"元代釋祖鐙113260居台州之上雲峯寺"
286,614,2,,,,,,18,,,,,,,,9599,14262,"元代釋惠滿113308居善衆寺"
287,615,1,1337,,,2,18,18,,,,,,,,,,"from L.Walton: 大明一統志 54.8b; Tianxia, 523"
287,3692,1,1337,635,3,2,18,,,,,,,,,38279,223,"多个出處:江西古代書院研究P223;元代書院之地理分佈P368."
288,616,2,,,,,,18,,,,,,,,9599,14389,"元代釋公歌藏卜113434居杭州聖安寺"
288,617,2,800,0,0,2,0,20,,,,,,,,27842,127,"Temple ID 139885 Location: 巴陵縣楞伽北峰; Founding: 唐代无姓居此，扬凭建寺; Other: 有唐代柳宗元岳州圣安寺无姓和尚碑"
289,618,2,,,,,,18,,,,,,,,9599,14200,"元代釋珠明113251居餘杭聖果寺"
290,619,2,,,,,,18,,,,,,,,9599,14023,"元代釋元長113079居義烏伏龍山聖壽寺"
290,620,2,,,,,,18,,,,,,,,9599,14342,"元代釋德馨113387居伏龍山聖壽寺"
290,621,2,0,0,0,0,0,20,,,,,,,,27842,128,"Temple ID 138384 Location: 臨晉縣西北"
290,622,2,890,0,0,2,0,20,,,,,,,,27842,128,"Temple ID 138385 Location: 沁源縣西北靈空山; Founding: 五代，唐甏宗第三子; Other: 宋端拱中今名，另州城通仙街有圣寿寺，宋代时立"
290,623,2,0,0,0,0,0,20,,,,,,,,27842,128,"Temple ID 139979 Location: 城都縣西南; Other: 唐代空慧寺，后改龙渊，宋祥符中今名"
290,624,2,1215,0,0,2,0,20,,,,,,,,27842,128,"Temple ID 140001 Location: 劍州治南; Founding: 宋嘉定中"
290,625,2,1449,0,0,0,0,20,,,,,,,,27842,128,"Temple ID 140036 Location: 越雋廳南門外; Founding: 明正统十四年"
290,626,2,530,0,0,2,0,20,,,,,,,,27842,128,"Temple ID 140183 Location: 英德縣東; Founding: 梁代; Other: 旧名果业寺"
290,627,2,1600,0,0,2,0,20,,,,,,,,27842,128,"Temple ID 140452 Location: 清平縣西; Founding: 明万历中"
291,628,1,,,,,15,18,,,,,,,,9599,2597,
291,629,1,,,,,18,18,,,,,,,,,,"from L.Walton: YR II.948; Lao, p.122 [Huang Jin. Huang wenxiangong ji [Zhonghua shuju ed.], 8.336 [but seems to be misplaced -- part of this is about Yuan, but it's within another person's epitaph??]"
291,630,1,1221,,,1,15,,,,,,,,,,,"from L.Walton: 大明一統志 50.7b; Sun, p.34 (#118), Jiangxi tongzhi, 82.28a."
291,3256,1,1198,604,4,0,17,,,,,,,,,38278,313,"多个出處:宋代書院與宋代學術之關係P313;中國古代的書院制度P29."
291,3610,1,1300,625,4,2,18,,,,,,,,,38280,389,"多个出處:元代書院之地理分佈P389;中國古代的書院制度P50;中國書院制度考略P20."
292,631,2,,,,,,18,,,,,,,,9599,14017,"元代釋允才113073居嘉興石佛寺"
292,632,2,0,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139096 Location: 唐縣唐岩山; Other: 顺治九年重建"
292,633,2,0,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139097 Location: 南宮縣西北; Other: 唐代垂拱时石佛"
292,634,2,0,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139098 Location: 寧古塔城西南; Other: 金时圣太后石佛建"
292,635,2,0,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139099 Location: 虞鄉縣西南; Other: 旧百梯寺，县西有延祚寺"
292,636,2,630,0,0,2,0,20,,,,,,,,27842,133,"Temple ID 139100 Location: 屯留縣西北; Founding: 唐贞观初"
292,637,2,1310,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139101 Location: 永寧州西寧鄉縣西; Founding: 元至大三年; Other: 有二寺"
292,638,2,999,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139102 Location: 濰縣東南; Founding: 宋咸平二年"
292,639,2,812,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 139783 Location: 安陸縣西; Founding: 唐元和七年"
292,640,2,0,0,0,0,0,20,,,,,,,,27842,133,"Temple ID 140426 Location: 府城東; Other: 法海寺在城东"
293,641,1,,,,,18,18,,,,,,,,,,"from L.Walton: Shigu shuyuan zhi 石鼓書院志 (1598 facsimile reprint), in Zhao Suosheng 趙所生, Xue Zhengxing 薛正興, eds., Zhongguo lidai shuyuan zhi 中國歷代書院志 [Shanghai?: Jiangsu jiaoyu chubanshe, n.d.]"
293,2936,1,1119,538,1,2,15,,,,,,,,,38278,312,"多个出處:宋代書院與宋代學術之關係P312;元代書院之地理分佈P378."
293,3046,1,997,512,3,0,15,,,,,,,,,38278,324,
294,642,1,,,,,18,18,,,,,,,,9599,6649,
294,3144,1,1146,585,16,2,78,,,,,,,,,38278,305,"多个出處:宋代書院與宋代學術之關係P305;江西古代書院研究P113;中國古代的書院制度P29."
294,3223,1,1178,621,5,0,59,,,,,,,,,38278,326,
295,643,1,1346,,,,18,18,,,,,,,,,,"from L.Walton: Wei Su 危素, Wei taipu yunlin xuji 危太樸雲林續集 [1913 Wuxing Liu clan Jiayetang printed ed.], 4.9b-10b"
296,644,1,,,,,18,18,,,,,,,,9599,3843,
296,645,1,,,,,18,18,,,,,,,,9599,8532,
296,2989,1,1119,538,1,2,15,,,,,,,,,38278,314,
296,3399,1,1279,623,16,2,18,,,,,,,,,38280,377,
297,646,1,1294,,,,18,18,,,,,,,,,,"from L.Walton: 大明一統志 44.8b; Liu Guan 柳貫, Liu Daizhi wenji 柳待制文集 [Jiangyin Miushi Yifengtang 江陰繆氏藝風堂 Yuan 1341-68 printed ed.],15.28b-31b"
298,647,1,,,,,18,18,,,,,,,,9599,5101,
298,3687,1,1350,636,10,2,18,,,,,,,,,,,
299,648,1,,,,,18,18,,,,,,,,9599,13185,
299,3688,1,1350,636,10,2,18,,,,,,,,,38280,403,"多个出處:元代書院之地理分佈P403;中國古代的書院制度P51;中國書院制度考略P21."
300,649,1,,,,,18,18,,,,,,,,,,"from L.Walton: 王沂, 伊賓集 [e-SKQS ed), 18.3b-5b; Liu Yueshen, Shenzhai wenji [e-SKQS], 6.30a-32a."
300,3602,1,1300,625,4,2,18,,,,,,,,,38280,394,"多个出處:元代書院之地理分佈P394;中國古代的書院制度P51;中國書院制度考略P21."
300,3698,1,1340,635,6,0,18,,,,,,,,,38281,58,
300,3699,1,1340,635,6,0,18,,,,,,,,,38281,58,
300,3717,1,1345,636,5,0,18,,,,,,,,,38281,59,
301,650,1,,,,,18,18,,,,,,,,9599,3777,"from L.Walton: Fang Fengchen 方逢辰, Jiaofeng waiji 蛟峰外集 [SKQS:zb], 3.31a-35b; Fang Hui 方回, Tongjiangji 桐江集, 1.13-17 [prose poem on Stone Gorge Academy]; SYXA 82.14a [lecture by Fang Fengchen]"
301,3441,1,1269,558,5,2,15,,,,,,,,,38277,11;34,"多个出處:中國古代書院發展史P11,34;宋代書院與宋代學術之關係P315;元代書院之地理分佈P373;中國古代的書院制度P28."
302,651,2,,,,,,18,,,,,,,,9599,14192,"元代釋原妙113243居天目山獅子院"
303,652,2,,,,,,18,,,,,,,,9599,14375,"元代釋覺明113420居奉元路壽光寺"
304,653,2,,,,,,18,,,,,,,,9599,14215,"元代釋崇超113265居居杭州東山 壽聖寺"
304,654,2,350,0,0,2,0,20,,,,,,,,27842,94,"Temple ID 138577 Location: 長洲縣西北; Founding: 晋代; Other: 宋治平中今额"
304,655,2,1170,0,0,2,0,20,,,,,,,,27842,95,"Temple ID 138578 Location: 蕭縣舊城南; Founding: 金大定中"
304,656,2,1300,0,0,0,0,20,,,,,,,,27842,95,"Temple ID 138579 Location: 宿遷縣舊治; Founding: 元大德四年"
304,657,2,800,0,0,2,0,20,,,,,,,,27842,95,"Temple ID 138580 Location: 長子縣; Founding: 唐代; Other: 有二寺"
304,658,2,930,0,0,2,0,20,,,,,,,,27842,95,"Temple ID 138581 Location: 陽城縣西北; Founding: 后唐; Other: 安初泗州院，治平四年今额"
304,659,2,1077,0,0,0,0,20,,,,,,,,27842,95,"Temple ID 138582 Location: 芮城縣東北; Founding: 宋元丰一年"
304,660,2,0,0,0,0,0,20,,,,,,,,27842,95,"Temple ID 140056 Location: 射洪縣東"
305,661,1,,,,,18,18,,,,,,,,9599,7154,
305,2941,1,1119,538,1,2,15,,,,,,,,,38278,335,
305,3444,1,1266,623,3,0,18,,,,,,,,,38280,406,
306,662,1,1294,,,,18,18,,,,,,,,9599,13318,"from L.Walton: Liu Chenweng 劉辰翁 [1232-97], Xuxi ji 須溪集 [SKQS:zb] 2.7b-9a; Liu Jiangsun 劉將孫[.1257], Yangwu zhaiji 養吾齋集 [SKQS:zb] 15.25a-28a"
306,3559,1,1300,625,4,2,18,,,,,,,,,38280,380,
307,663,2,,,,,,18,,,,,,,,9599,14179,"元代釋法喜113230居平江雙塔寺"
307,664,2,865,0,0,2,0,20,,,,,,,,27842,143,"Temple ID 138342 Location: 府城東南隅; Founding: 唐咸通中（般若寺）; Other: 至道九年改寿宁万岁禅院，宋雍熙中今名"
307,665,2,0,0,0,0,0,20,,,,,,,,27842,143,"Temple ID 138343 Location: 州東南"
308,666,1,1292,,,,18,18,,,,,,,,9599,7641,"from L.Walton: Liu Chenweng [1232-97; 1262 jinshi], Xuxi ji, [SKQS:zb ed.], 1.7a-9a [Inscription on Double Creek Academy]; Chen Wenwei  陳文蔚 [jinshi 1235], Kezhai ji  克齋集 [SKQS ed.], 7.4b-5b [""Proclamation on Double Creek Academy""]; Tianxia, 5.45a-46b [Zhao Jieru]"
308,3442,1,1269,558,5,2,15,,,,,,,,,38277,12;32,"多个出處:中國古代書院發展史P12,32;宋代書院與宋代學術之關係P309;江西古代書院研究P219;元代書院之地理分佈P365;中國古代的書院制度P51;中國書院制度考略P21."
309,667,1,,,,,18,18,,,,,,,,9599,4227,
310,668,2,,,,,,18,,,,,,,,9599,14125,"元代釋克新113179居嘉興水西寺"
310,669,2,0,0,0,0,0,20,,,,,,,,27842,111,"Temple ID 139781 Location: 安陸縣西; Other: 一名救苦寺，今名胜业院"
311,670,2,,,,,,18,,,,,,,,9599,14065,"元代釋正因113120居杭州殊勝寺"
312,671,1,,,,,18,18,,,,,,,,9599,12242,
312,3500,1,1300,625,4,2,18,,,,,,,,,38280,381,
313,672,1,,,,,18,18,,,,,,,,9599,7821,
313,3335,1,1240,553,4,0,15,,,,,,,,,38280,398,
314,673,2,,,,,,18,,,,,,,,9599,14137,"元代釋希陵113190居袁州大仰山太平興國寺"
315,674,1,,,,,18,18,,,,,,,,9599,6466,"from L.Walton: Wei Su, Shuoxuezhai gao [-SKQS], 2.33-34b"
315,3562,1,1300,625,4,2,18,,,,,,,,,38280,400,
316,675,1,,,,,18,18,,,,,,,,9599,16963,
317,676,1,1295,,,,18,18,,,,,,,,,,"from L.Walton: Lin Jingxi 林景熙 (fl.ca.1275), Jishan xiansheng ji 霽山先生集 [Zhibuzu coll.25] ,4.6a-8a"
318,677,1,,,,,18,18,,,,,,,,,,"from L.Walton: 大明一統志 46.9a mentions name only"
319,678,3,,,,,,18,,,,,,,,9599,14465,"元代酈希誠113503居居燕城天寶 宮"
320,679,1,,,,,18,18,,,,,,,,9599,13784,
321,680,2,,,,,,18,,,,,,,,9599,14350,"元代釋慧朗113395居杭州天華寺"
322,681,2,,,,,,18,,,,,,,,9599,14154,"元代釋宗泐34425居京師天界寺"
322,682,2,,,,,,18,,,,,,,,9599,14084,"元代釋夷簡113139居南京天界寺"
322,683,2,1380,0,0,2,0,20,,,,,,,,27842,169,"Temple ID 138487 Location: 江寧縣城南; Founding: 明洪武中"
323,684,2,,,,,,18,,,,,,,,9599,14366,"元代釋懷信113411居中天竺之天曆永祚寺"
324,685,1,1246,,,,15,18,,,,,,,,9599,12031,"from L.Walton: 大明一統志 15.6a; S Anhui #2 [Jiangnan tongzhi, 90.23b-24a]; SYXA:supp.82.225a7; Tao An, Tao xueshi ji [e-SKQS], 20.1a-3b; 20.6a-7a"
324,686,1,,,,,18,18,,,,,,,,,,"from L.Walton: Yu Ji 虞集, Daoyuan xuegu lu 道園學古錄 [SBCK ed.], 9.1a-2b; Yu Que 余闕, Qingyang xiansheng wenji 青陽先生文集 [SBCK ed.], 2.1a-2b."
324,3363,1,1246,554,6,0,15,,,,,,,,,38277,10;34,"多个出處:中國古代書院發展史P10,34;宋代書院與宋代學術之關係P333."
324,3563,1,1300,625,4,2,18,,,,,,,,,38280,402,
324,3631,1,1303,625,7,0,18,,,,,,,,,,,
325,687,2,,,,,,18,,,,,,,,9599,14086,"元代釋如川113141居天寧禪寺"
326,688,2,,,,,,18,,,,,,,,9599,14321,"元代釋福演113366居彰德路天寧寺"
326,689,2,,,,,,18,,,,,,,,9599,13998,"元代釋力金113058居嘉興天寧寺"
326,690,2,,,,,,18,,,,,,,,9599,14307,"元代釋道高113352居海鹽之天寧寺"
326,691,2,800,0,0,2,0,20,,,,,,,,27842,171,"Temple ID 138460 Location: 府治西北; Founding: 唐代; Other: 元至正中重修"
326,692,2,471,0,0,2,0,20,,,,,,,,27842,171,"Temple ID 138461 Location: 廣寧門外; Founding: 元魏孝文时; Other: 初名光林寺，隋仁寿中，弘业寺，唐开元中天王寺，金大定二十一年大万安寺，明宣德中今名"
326,693,2,635,0,0,2,0,20,,,,,,,,27842,171,"Temple ID 138462 Location: 州南舊城裏村; Founding: 唐贞观中"
326,694,2,800,0,0,2,0,20,,,,,,,,27842,171,"Temple ID 138463 Location: 武進縣城東; Founding: 唐代; Other: 乾隆二十七年巡幸"
326,695,2,365,0,0,0,0,20,,,,,,,,27842,171,"Temple ID 138464 Location: 甘泉縣天寧門外; Founding: 东晋; Other: 义兴中佛驮跋陀罗译经，宋政和中今名"
326,696,2,800,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138465 Location: 州西北; Founding: 唐代; Other: 旧名光孝祠，明天顺初今名"
326,697,2,618,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138466 Location: 汾陽縣東郭; Founding: 唐初; Other: 初名大中，宋名太子院，明洪武中今名"
326,698,2,1070,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138467 Location: 州治下城; Founding: 宋熙宁中; Other: 双塔"
326,699,2,635,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138468 Location: 州城北門街; Founding: 唐贞观中; Other: 明洪武初，一半割给镇武卫"
326,700,2,0,0,0,0,0,20,,,,,,,,27842,172,"Temple ID 138469 Location: 州城西中條山; Other: 一名静林寺"
326,701,2,960,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138470 Location: 州城內福壽街; Founding: 后周"
326,702,2,980,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138471 Location: 州南; Founding: 宋太平兴国中; Other: 州南有能仁寺，福胜寺，兴国寺"
326,703,2,800,0,0,2,0,20,,,,,,,,27842,172,"Temple ID 138472 Location: 州北; Founding: 唐代; Other: 旧名天王寺，明末废，顺治初道兴重建"
326,704,2,1105,0,0,0,0,20,,,,,,,,27842,172,"Temple ID 138473 Location: 鄢陵縣東南; Founding: 宋崇宁三年; Other: 顺治七年重修"
326,705,2,1161,0,0,0,0,20,,,,,,,,27842,173,"Temple ID 138474 Location: 府治東; Founding: 金大定一年"
326,706,2,0,0,0,0,0,20,,,,,,,,27842,173,"Temple ID 138475 Location: 內鄉縣北馬山; Other: 金明昌初重建"
326,707,2,1103,0,0,0,0,20,,,,,,,,27842,173,"Temple ID 138476 Location: 扶溝縣儒學後; Founding: 宋崇宁一年; Other: 明嘉靖中重修"
326,708,2,0,0,0,0,0,20,,,,,,,,27842,173,"Temple ID 139396 Location: 州城西"
326,709,2,559,0,0,0,0,20,,,,,,,,27842,173,"Temple ID 139482 Location: 府治東北; Founding: 陈永定三年武帝后; Other: 旧名隆重兴寺，宋代今名"
326,710,2,800,0,0,2,0,20,,,,,,,,27842,173,"Temple ID 139493 Location: 府治西南惠政橋; Founding: 唐代; Other: 旧名国宁寺，宋政各中今额"
326,711,2,730,0,0,2,0,20,,,,,,,,27842,173,"Temple ID 139537 Location: 臨海縣巾子山; Founding: 唐开元中; Other: 寺东有古塔"
326,712,2,1050,0,0,2,0,20,,,,,,,,27842,173,"Temple ID 139558 Location: 建德縣南; Founding: 宋庆历中"
326,713,2,1100,0,0,2,0,20,,,,,,,,27842,173,"Temple ID 139610 Location: 府治南; Founding: 宋代; Other: 初名天名院，康熙十年重修，城南落星寺"
326,714,2,880,0,0,2,0,20,,,,,,,,27842,173,"Temple ID 139646 Location: 府治南; Founding: 唐韦宙; Other: 初名兴化寺，宋代报恩元代今年名"
326,715,2,540,0,0,2,0,20,,,,,,,,27842,174,"Temple ID 139874 Location: 武崗州治南; Founding: 梁武帝; Other: 宋徽宗改报恩"
326,716,2,1100,0,0,2,0,20,,,,,,,,27842,174,"Temple ID 140031 Location: 平武縣南; Founding: 宋代"
326,717,2,770,0,0,0,0,20,,,,,,,,27842,174,"Temple ID 140241 Location: 海康縣西關外; Founding: 唐大历五年; Other: 旧名报恩"
326,718,2,1100,0,0,2,0,20,,,,,,,,27842,174,"Temple ID 140244 Location: 瓊山縣，萬州，崖州; Founding: 宋; Other: 三寺"
327,719,2,,,,,,18,,,,,,,,9599,14265,"元代釋普仁113311居大都天慶寺"
327,720,2,1000,0,0,2,0,20,,,,,,,,27842,170,"Temple ID 138482 Location: 朝陽縣西; Founding: 辽代; Other: 康熙十七年重修"
327,721,2,1060,0,0,2,0,20,,,,,,,,27842,170,"Temple ID 140070 Location: 州治西; Founding: 宋嘉祐中"
328,722,2,,,,,,18,,,,,,,,9599,14195,"元代釋悟光113246居四明天童寺"
328,723,2,,,,,,18,,,,,,,,9599,14089,"元代釋如砥113144居天童寺"
329,724,2,1100,,,,,18,,,,,,,,9599,14041,"元代釋文靜113096居山陰天章寺; Temple ID 139518 Location: 山陰縣蘭渚山; Founding: 宋代; Other: 兰亭旧地"
330,725,1,1312,,,,18,18,,,,,,,,,,"from L.Walton: 大明一統志 47.10b"
330,3637,1,1312,627,1,2,18,,,,,,,,,38280,376,
331,726,2,,,,,,18,,,,,,,,9599,14173,"元代釋法空113224居居忻州萬安 禪院"
332,727,2,,,,,,18,,,,,,,,9599,14031,"元代釋元瀞113086居天衣萬壽寺"
333,728,2,,,,,,18,,,,,,,,9599,14104,"元代釋至仁113159居蘇州萬壽寺"
333,729,2,,,,,,18,,,,,,,,9599,14098,"元代釋自如113153居浙江萬壽寺"
333,730,2,,,,,,18,,,,,,,,9599,14073,"元代釋永珍113128居平江萬壽寺"
333,731,2,0,0,0,0,0,20,,,,,,,,27842,232,"Temple ID 138158 Location: 定興縣西江村; Other: 明，鹿善此讲学"
333,732,2,1577,0,0,0,0,20,,,,,,,,27842,232,"Temple ID 138159 Location: 西直門外; Founding: 明万历五年; Other: 康熙五十二年奉敕重修，乾隆十六年重修"
333,733,2,1713,0,0,0,0,20,,,,,,,,27842,232,"Temple ID 138160 Location: 外攘門外; Founding: 康熙五十二年敕建"
333,734,2,410,0,0,2,0,20,,,,,,,,27842,232,"Temple ID 138161 Location: 府治東北; Founding: 晋义熙中，法愔; Other: 初名净寿院，明嘉靖时为长洲学，今名证杲庵"
333,735,2,875,0,0,2,0,20,,,,,,,,27842,232,"Temple ID 138162 Location: 婺源縣西; Founding: 唐，乾符初"
333,736,2,620,0,0,2,0,20,,,,,,,,27842,232,"Temple ID 138163 Location: 府城內; Founding: 唐武德中"
333,737,2,0,0,0,0,0,20,,,,,,,,27842,233,"Temple ID 138164 Location: 州城東門內州城南; Other: 由二寺而来"
333,738,2,0,0,0,0,0,20,,,,,,,,27842,233,"Temple ID 139787 Location: 隋州西南大洪山"
333,739,2,1100,0,0,2,0,20,,,,,,,,27842,234,"Temple ID 140022 Location: 富順縣東南溪縣治西; Founding: 俱宋代; Other: 由二寺而来"
333,740,2,0,0,0,0,0,20,,,,,,,,27842,234,"Temple ID 140087 Location: 梁山縣西"
333,741,2,1404,0,0,0,0,20,,,,,,,,27842,234,"Temple ID 140089 Location: 廳西; Founding: 明永乐一年"
333,742,2,1250,0,0,2,0,20,,,,,,,,27842,234,"Temple ID 140187 Location: 增城縣鳳凰山; Founding: 宋嘉熙中; Other: 旧名法空寺"
333,743,2,600,0,0,2,0,20,,,,,,,,27842,234,"Temple ID 140259 Location: 府學南門外; Founding: 隋代; Other: 旧名永宁，元代圆觉，顺治十五年重修"
333,744,2,0,0,0,0,0,20,,,,,,,,27842,234,"Temple ID 140268 Location: 凌雲縣南屏藩山"
333,745,2,0,0,0,0,0,20,,,,,,,,27842,234,"Temple ID 140388 Location: 州城西"
333,746,2,0,0,0,0,0,20,,,,,,,,27842,234,"Temple ID 140414 Location: 廣順州東; Other: 明建文帝遗像"
333,747,2,1600,0,0,2,0,20,,,,,,,,27842,234,"Temple ID 140448 Location: 府城西北，餘慶縣西; Founding: 明万历中，不明; Other: 由二寺而来"
333,748,2,1667,0,0,0,0,20,,,,,,,,27842,235,"Temple ID 140517 Location: 府城北文龍山; Founding: 康熙六年; Other: 双林之冠"
333,749,2,1210,0,0,2,0,20,,,,,,,,27842,235,"Temple ID 140531 Location: 府城北龍山; Founding: 宋嘉定初; Other: 龙山寺"
334,750,1,,,,,18,18,,,,,,,,9599,2249,
335,751,1,1351,,,,18,18,,,,,,,,,,"from L.Walton: 大明一統志 76.9a; Tianxia, 947-951 [Ming inscription]"
335,2995,1,1119,538,1,2,15,,,,,,,,,38278,319,"多个出處:宋代書院與宋代學術之關係P319;元代書院之地理分佈P382."
335,3432,1,1269,558,5,2,15,,,,,,,,,38279,114,
336,752,1,,,,,18,18,,,,,,,,,,"from L.Walton: Ren Shilin 任士林 [1253-1309], Songxiang ji 松鄉集 [SKQS:zb ed.], 1.5b-8a"
337,753,1,1295,,,,18,18,,,,,,,,9599,57,"from L.Walton: Dade Chang'guozhou tuzhi [1298], 2.10a-b; Zhizheng Siming xuzhi [1342], 8.5b-6b; Yanyou Siming zhi [1320], 14.24b"
337,3029,1,1119,538,1,2,15,,,,,,,,,38282,29,
