c_person_id,c_db_id,c_db_sys_id
34792,1,9338
34798,1,11234
34800,1,178
34807,1,6874
34832,1,11702
34836,1,9252
34897,1,171
34911,1,44
34913,1,1824
34914,1,2323
34916,2,1117
34924,1,12978
34926,1,13156
35003,1,9536
35030,2,230
35039,1,13138
35042,1,13173
35043,1,9217
35048,1,3235
35049,1,1876
35053,1,12896
35057,1,12954
35060,1,12777
35062,1,12768
35070,2,170
35076,1,9473
35077,1,9474
35079,1,662
35085,1,9325
35102,1,6363
35103,1,4464
35105,1,9045
35118,1,2163
35127,1,9484
35140,1,10226
35161,1,111
35164,1,11285
35186,1,9440
35188,1,9076
35190,1,9218
35191,1,1791
35193,1,13
35216,1,9441
35219,1,9221
35498,1,11006
35558,1,9024
36130,2,2431
37656,2,159
38116,2,107
38430,2,3780
38451,2,200
38563,2,480
38773,2,569
39436,2,967
39813,2,1681
39958,2,1857
40346,2,1253
40517,2,109
41005,2,1259
41843,2,3649
42085,2,1631
42120,2,1624
42275,2,2091
42402,2,2416
42672,3,835
42789,2,2215
43691,2,2946
43819,2,2489
44474,1,8190
44919,2,846
45077,2,2841
45144,2,1026
45416,2,987
46425,2,3826
46565,2,2908
46662,2,1833
48096,2,1987
48286,2,642
48745,2,2989
49581,2,1512
49981,2,3605
50112,2,3810
50302,2,2446
50522,2,3808
51149,2,3679
51284,2,3806
51473,2,441
52173,2,527
53050,2,425
53141,2,460
53268,2,1609
53782,2,3333
53832,2,3619
53958,3,6
53976,3,8
53977,1,1237
53978,3,83
53979,3,1095
53980,3,11
53981,3,352
53982,3,351
53983,3,353
53984,3,360
53985,3,361
53986,3,363
53987,3,359
53988,3,362
53989,3,12
53990,3,365
53991,1,5109
53992,3,366
53993,3,382
53994,3,239
53995,1,5354
53996,3,370
53997,3,381
53998,3,377
53999,3,378
54000,1,1695
54001,3,310
54002,3,369
54003,3,375
54007,1,85
54015,3,328
54017,1,2270
54018,3,1968
54019,1,1366
54021,1,83
54021,3,1977
54022,1,1178
54023,3,401
54027,3,47
54031,1,4502
54033,3,380
54035,3,13
54038,3,469
54039,3,14
54040,3,15
54041,3,16
54044,3,17
54045,3,19
54046,3,480
54047,3,20
54049,3,88
54050,3,90
54053,3,22
54055,3,28
54056,3,1380
54058,3,24
54060,3,788
54063,3,26
54064,3,112
54071,3,2087
54073,3,490
54074,3,2703
54075,3,1399
54076,3,85
54079,3,27
54082,3,851
54083,3,866
54084,3,4818
54085,3,1444
54086,3,104
54087,3,5465
54088,3,2135
54089,3,2136
54090,3,2137
54091,3,2138
54092,3,2139
54093,3,2140
54094,3,2086
54095,3,2141
54096,3,29
54097,3,30
54100,3,440
54101,3,438
54102,3,32
54104,1,4737
54104,3,272
54105,3,176
54106,3,175
54108,3,273
54111,3,462
54112,3,37
54114,3,479
54115,1,9214
54115,3,263
54116,3,38
54118,3,39
54119,1,9565
54119,3,3900
54122,3,3901
54123,3,42
54130,3,43
54132,3,4585
54135,1,9859
54136,3,4587
54138,3,241
54140,3,4582
54141,3,4586
54144,3,554
54145,3,44
54146,1,3562
54148,3,520
54151,3,46
54159,3,484
54164,3,48
54166,3,529
54169,3,655
54174,3,52
54180,3,59
54184,1,2334
54186,1,3687
54187,3,60
54191,3,61
54192,3,55
54196,3,689
54198,3,257
54201,3,139
54203,3,258
54204,3,138
54205,3,1698
54209,3,259
54210,1,2278
54211,3,288
54212,1,8342
54214,3,62
54222,3,63
54223,3,140
54229,3,314
54240,3,528
54243,1,1061
54244,3,65
54245,1,1761
54246,1,100
54247,1,4403
54250,3,66
54262,3,67
54263,1,9447
54265,1,1614
54266,3,68
54267,1,528
54269,1,9181
54273,3,70
54277,3,146
54278,3,71
54279,3,344
54286,1,2375
54287,3,268
54288,3,269
54289,3,72
54290,3,270
54291,3,271
54293,3,345
54296,1,9483
54297,1,9485
54298,3,346
54299,3,274
54302,3,350
54303,3,496
54304,1,368
54305,1,3866
54306,3,4568
54310,3,349
54311,3,301
54312,3,1695
54314,3,3937
54317,3,435
54319,1,2387
54321,3,74
54322,3,147
54324,3,386
54327,3,75
54329,3,210
54331,3,76
54332,3,334
54334,3,92
54336,3,297
54340,3,337
54345,3,77
54348,3,302
54349,3,78
54355,3,79
54357,1,115
54357,3,275
54358,1,4566
54363,3,2588
54365,3,80
54366,3,276
54367,1,1835
54369,3,603
54378,1,4697
54378,3,335
54379,3,336
54380,3,148
54381,3,81
54382,1,2150
54383,1,2128
54386,3,1156
54389,3,2635
54390,1,1602
54392,1,8502
54393,3,390
54395,3,82
54398,3,4580
54400,1,9012
54400,3,4574
54401,3,392
54402,1,12562
54402,3,277
54405,1,3887
54406,3,394
54407,3,395
54408,3,278
54409,1,6468
54410,3,393
54411,1,9445
54412,3,4576
54413,3,4579
54414,3,149
54416,1,2381
54417,3,300
54418,3,1054
54424,3,398
54425,3,86
54432,1,3226
54435,1,2026
54437,3,432
54438,3,429
54439,3,399
54440,3,431
54442,3,433
54443,3,150
54444,3,87
54445,1,3986
54445,3,406
54448,3,403
54449,3,284
54450,3,404
54451,1,9578
54451,3,407
54452,3,405
54456,3,3848
54457,3,4238
54463,3,285
54464,3,286
54465,3,89
54469,3,3940
54476,3,289
54478,1,4591
54480,1,5987
54480,3,290
54483,1,318
54484,3,91
54487,3,291
54488,1,4717
54495,3,1344
54501,3,292
54502,3,293
54504,3,294
54505,3,295
54508,3,298
54510,1,2760
54511,1,5090
54512,3,154
54524,3,1146
54525,3,445
54527,3,93
54530,3,444
54533,1,5812
54534,1,3284
54534,3,443
54535,3,1295
54536,3,456
54539,1,8869
54539,3,448
54540,3,304
54541,3,94
54542,3,318
54544,1,1931
54547,3,306
54549,3,309
54550,3,1286
54551,1,6942
54553,3,450
54554,3,312
54556,3,319
54557,3,4785
54559,1,1522
54561,3,313
54562,1,9083
54563,3,99
54565,3,4808
54567,3,156
54568,1,8912
54571,1,7124
54572,3,4806
54575,3,221
54576,1,8861
54577,3,458
54579,1,4139
54580,1,9163
54580,3,493
54581,3,157
54585,3,95
54588,3,96
54589,3,158
54591,1,674
54596,3,3880
54599,3,3881
54602,1,615
54610,3,3675
54611,3,4103
54612,3,3584
54613,3,97
54615,3,3620
54617,3,320
54620,3,199
54621,3,321
54622,3,98
54623,3,322
54624,3,4677
54625,3,323
54627,3,418
54628,3,325
54629,3,4723
54631,3,326
54633,3,101
54634,3,200
54635,3,4443
54636,3,254
54637,1,2987
54640,1,13018
54640,3,327
54644,3,201
54645,3,3797
54649,3,161
54651,1,2176
54651,3,330
54652,3,3991
54654,1,2113
54654,3,331
54658,3,105
54659,1,8211
54660,3,332
54661,1,8731
54664,1,8273
54669,3,245
54671,3,162
54672,3,3762
54673,1,1800
54680,3,460
54681,3,106
54684,3,163
54685,1,1675
54686,3,108
54687,1,8291
54689,3,1094
54690,3,338
54694,3,236
54696,3,109
54697,3,4633
54704,1,5397
54705,3,4445
54707,1,4512
54707,3,1973
54708,1,4134
54710,3,911
54711,3,110
54712,1,9206
54714,1,2005
54715,3,339
54718,3,4043
54719,3,1299
54720,3,4692
54724,3,340
54725,3,111
54727,3,4447
54728,3,4706
54729,1,426
54730,3,1404
54731,1,9425
54732,3,125
54733,3,4707
54734,3,4700
54735,3,354
54737,3,355
54738,3,356
54739,3,916
54740,3,3958
54741,3,113
54746,3,1278
54748,3,126
54750,3,4701
54754,3,357
54756,3,1664
54757,3,934
54759,3,3732
54760,1,12916
54760,3,4634
54763,1,2189
54763,3,3563
54765,3,1480
54766,3,1195
54772,3,4713
54775,3,4859
54776,3,4830
54777,3,867
54781,3,4714
54783,3,4892
54784,3,4715
54785,3,116
54787,1,9312
54788,3,118
54789,3,4709
54792,3,165
54794,3,1466
54796,1,4534
54797,3,1564
54802,3,166
54805,3,119
54809,1,9347
54812,3,408
54817,3,122
54819,1,2699
54821,3,167
54822,3,1611
54826,3,3796
54833,3,3786
54836,3,123
54839,3,410
54840,3,124
54845,3,168
54846,3,128
54849,3,411
54854,1,1406
54855,3,238
54857,3,129
54858,3,1218
54864,3,130
54869,3,412
54876,3,416
54877,3,131
54878,3,169
54880,3,207
54881,3,3190
54886,3,417
54887,1,9416
54888,3,419
54892,3,133
54896,3,170
54900,3,134
54903,3,513
54904,3,135
54906,1,6503
54908,3,420
54909,3,136
54913,3,137
54915,3,421
54921,3,171
54922,3,3825
54924,3,505
54926,3,425
54932,3,506
54934,3,424
54938,3,172
54940,3,427
54945,3,507
54947,3,173
54950,1,8195
54950,3,434
54952,3,607
54953,3,437
54954,3,442
54955,1,8974
54958,3,508
54960,3,3929
54962,3,5187
54964,1,470
54966,3,509
54969,3,510
54973,3,174
54974,3,451
54975,3,454
54976,3,511
54979,1,4999
54979,3,455
54981,3,3830
54982,1,11868
54984,3,457
54986,3,3931
54987,3,465
54988,3,204
54990,3,235
54992,3,3932
54993,1,1249
54994,3,3933
54996,1,9069
54998,3,3934
54999,1,6300
55000,3,512
55006,3,177
55008,1,989
55008,3,1972
55018,1,4766
55019,1,990
55022,3,178
55024,3,514
55033,3,183
55034,3,515
55036,3,516
55038,3,517
55041,3,518
55042,3,519
55045,3,4403
55046,3,761
55047,3,184
55048,3,230
55049,3,521
55050,3,475
55052,3,522
55053,3,476
55054,3,523
55056,3,477
55057,1,12972
55057,3,524
55061,3,185
55062,1,9797
55063,3,482
55065,3,483
55066,3,186
55069,3,485
55071,3,187
55072,3,188
55073,3,491
55075,3,492
55080,1,4448
55083,1,9253
55084,1,5845
55085,1,9358
55088,3,4738
55090,3,3512
55092,3,525
55093,3,4737
55094,3,4744
55096,3,189
55100,3,526
55104,1,9353
55105,3,3799
55106,3,4614
55108,3,190
55109,3,4679
55111,3,527
55112,3,3664
55116,1,2483
55117,3,531
55118,1,177
55122,1,9467
55124,1,9372
55124,3,4635
55127,3,1916
55130,3,532
55133,3,4636
55134,3,497
55137,3,1917
55139,3,533
55140,3,534
55141,3,1918
55144,3,1919
55145,3,535
55148,1,9204
55149,3,4894
55150,1,607
55151,3,4813
55152,3,4814
55153,1,8368
55156,3,4815
55157,3,499
55160,3,4816
55161,3,500
55162,3,536
55163,3,4831
55166,3,4832
55167,3,537
55168,3,4833
55170,3,4834
55171,3,4835
55172,3,4836
55175,3,4837
55176,3,4838
55177,3,538
55178,3,4839
55179,3,4840
55181,3,4843
55182,1,540
55184,3,539
55186,3,3362
55191,3,4871
55193,3,540
55194,1,505
55196,3,503
55199,3,3604
55201,3,541
55203,3,542
55207,3,543
55208,3,504
55210,3,610
55216,1,2543
55220,3,4851
55221,3,611
55226,3,612
55227,3,546
55230,3,613
55233,1,9418
55237,3,547
55240,3,194
55242,3,549
55243,3,3798
55244,3,550
55247,1,279
55248,3,551
55249,3,195
55253,3,552
55258,3,553
55261,3,196
55264,3,555
55267,3,4861
55269,3,556
55270,3,197
55273,3,557
55278,3,558
55281,3,559
55282,3,560
55284,3,198
55285,3,561
55286,1,8410
55291,3,202
55294,3,203
55295,3,562
55297,3,563
55301,3,205
55307,3,564
55310,3,565
55312,3,206
55317,3,566
55320,3,807
55324,3,208
55327,1,1240
55330,3,567
55335,3,209
55336,1,3513
55338,3,243
55343,3,568
55346,3,569
55348,3,570
55350,3,571
55353,3,572
55354,3,573
55355,3,877
55356,1,452
55357,1,2650
55358,1,7540
55360,3,574
55363,3,575
55365,3,576
55367,1,9
55378,3,211
55382,3,4166
55383,3,4391
55384,3,609
55385,3,614
55388,3,615
55391,3,577
55393,3,616
55395,3,4167
55398,3,617
55410,1,2647
55411,3,212
55413,1,2646
55415,1,3558
55422,3,580
55426,3,581
55427,3,3639
55432,1,9213
55433,3,4858
55435,3,3648
55438,3,3642
55439,3,582
55440,3,4765
55442,3,213
55443,3,583
55449,3,214
55450,3,618
55461,3,619
55465,3,620
55467,3,621
55468,3,3835
55473,3,3862
55474,3,1113
55475,3,1496
55480,3,3863
55481,3,215
55482,3,584
55483,3,3864
55486,1,8880
55487,3,216
55488,3,3865
55490,3,217
55493,1,53
55497,3,218
55501,3,3819
55503,3,3132
55504,1,2045
55508,3,586
55510,3,3133
55514,3,1392
55516,3,220
55518,3,587
55522,1,10542
55528,3,588
55530,3,222
55533,3,589
55534,3,4600
55535,3,224
55536,3,591
55540,3,225
55542,3,4939
55543,3,592
55544,3,593
55545,3,4860
55546,1,52
55547,3,3990
55548,3,594
55550,3,4424
55554,3,596
55557,3,597
55559,3,598
55560,3,599
55562,3,4667
55563,3,247
55564,3,4669
55566,3,2950
55567,1,2550
55568,3,4671
55569,1,3992
55572,3,600
55574,1,9028
55575,3,601
55576,3,602
55582,3,4764
55583,3,622
55586,3,623
55587,1,12760
55590,3,624
55595,3,604
55599,3,605
55600,3,625
55603,3,626
55604,3,606
55607,3,608
55609,3,714
55613,3,715
55615,3,716
55624,3,717
55625,3,718
55626,1,746
55627,3,719
55628,1,4118
55630,1,2549
55631,1,1174
55632,3,720
55634,3,4864
55635,1,9297
55638,3,721
55639,3,4909
55640,3,722
55641,3,4908
55642,3,627
55644,3,4896
55647,1,8220
55649,3,628
55650,3,629
55652,3,630
55654,3,4897
55658,3,724
55659,1,2170
55661,1,5300
55663,3,725
55664,3,4901
55666,1,8903
55667,1,1875
55670,3,631
55672,3,4903
55673,3,632
55674,3,723
55676,3,4904
55677,1,4032
55678,1,6770
55679,3,726
55680,3,4907
55681,3,4910
55682,3,4936
55683,3,4911
55684,1,6919
55685,3,727
55687,3,4913
55688,3,728
55689,3,4914
55691,3,4915
55692,3,729
55694,1,7878
55699,3,730
55703,3,731
55704,3,633
55709,3,3386
55711,3,732
55712,3,634
55714,3,733
55715,3,1210
55719,3,734
55720,3,685
55723,3,736
55726,3,1270
55728,3,737
55730,3,684
55736,3,670
55737,3,1812
55738,3,3954
55742,3,738
55749,3,740
55751,3,1303
55753,3,741
55756,3,743
55761,3,744
55762,3,745
55763,3,2248
55765,3,746
55767,3,747
55769,3,748
55772,1,7077
55772,3,4628
55773,3,857
55777,3,4627
55779,3,4917
55783,3,4918
55785,3,4919
55786,1,1865
55788,1,4124
55790,3,4922
55791,3,1513
55792,3,4629
55793,3,4924
55794,3,4925
55795,3,4926
55799,3,1515
55800,3,4927
55801,3,859
55802,3,3355
55803,1,5357
55807,3,1516
55810,3,227
55814,3,673
55816,1,4854
55817,1,1438
55818,3,4676
55820,3,687
55822,3,749
55823,3,4678
55824,1,2021
55825,1,9691
55827,3,3568
55829,3,750
55832,3,3735
55833,1,9244
55834,3,3658
55836,1,397
55837,3,751
55839,3,752
55841,3,753
55850,3,754
55851,1,527
55855,3,755
55858,1,9413
55859,3,756
55860,3,757
55863,3,758
55865,1,12718
55866,3,635
55869,1,2155
55870,1,9365
55871,3,759
55872,3,636
55878,3,637
55881,3,639
55882,3,640
55883,3,641
55884,3,760
55887,3,762
55888,1,1383
55889,3,763
55895,3,764
55903,3,228
55904,3,766
55911,3,767
55915,3,643
55919,3,644
55920,3,768
55921,3,229
55925,3,769
55927,3,770
55931,3,3330
55933,3,5185
55935,3,3870
55937,3,645
55938,3,646
55941,3,5159
55945,3,771
55946,3,772
55949,3,773
55950,3,674
55954,3,675
55955,3,774
55959,3,5214
55963,3,775
55965,3,676
55969,3,776
55971,3,777
55972,3,778
55973,3,231
55978,3,232
55979,3,984
55980,3,4819
55983,3,779
55984,1,181
55985,3,233
55986,3,3484
55990,3,780
55995,3,783
55999,3,784
56004,3,647
56005,3,244
56006,3,785
56007,3,648
56010,3,786
56012,3,789
56013,3,649
56016,3,650
56017,3,652
56019,3,790
56022,3,234
56023,1,9690
56027,3,3625
56029,3,791
56030,1,12751
56031,3,237
56032,1,2360
56033,3,792
56037,3,793
56039,3,794
56040,3,240
56041,3,795
56044,3,796
56046,3,1538
56048,3,797
56049,1,201
56052,3,798
56054,3,1844
56055,3,242
56058,3,1845
56059,3,3953
56064,3,799
56070,3,1261
56072,3,800
56074,3,801
56075,3,246
56083,3,3750
56089,3,802
56094,1,3846
56096,3,3751
56099,3,803
56101,3,804
56104,3,805
56106,3,248
56109,3,806
56113,3,808
56114,3,249
56116,1,7968
56118,3,4406
56124,3,250
56127,3,809
56133,3,5107
56134,3,251
56135,3,3135
56136,3,810
56140,3,252
56147,3,812
56149,3,253
56153,3,813
56156,3,814
56157,3,815
56159,3,816
56161,3,255
56162,3,817
56165,3,654
56166,3,256
56167,3,656
56171,3,818
56174,3,657
56175,3,920
56177,3,819
56181,3,919
56185,3,658
56187,3,820
56190,3,918
56193,3,917
56201,3,914
56203,3,659
56210,3,660
56214,3,662
56217,3,663
56218,3,910
56223,3,909
56228,3,1217
56232,3,3504
56236,1,9419
56249,3,824
56252,3,825
56253,3,826
56255,3,827
56257,3,828
56258,3,829
56259,3,830
56261,3,831
56263,3,832
56265,3,833
56266,3,834
56268,3,836
56275,3,838
56276,1,2974
56278,1,34
56279,1,12687
56280,3,839
