c_inst_name_code,c_inst_name_hz,c_inst_name_py
142,"化龍書院","Hualong shuyuan"
143,"黃崗書院","Huanggang shuyuan"
144,"皇岡書院","Huang'Gang shuyuan"
145,"華嚴寺",Huayansi
146,"晦菴書院","Huian shuyuan"
147,"慧日寺",Huirisi
148,"惠山寺",Huishansi
149,"慧因寺",Huiyinsi
150,"建安書院","Jian'An shuyuan"
151,"薦福寺",Jianfusi
152,"江東書院","Jiangdong shuyuan"
153,"江心寺",Jiangxinsi
154,"薦嚴寺",Jianyansi
155,"覺照寺",Jiaozhaosi
156,"稼軒書院","Jiaxuan shuyuan"
157,"極樂寺",Jilesi
158,"靜安寺",Jingansi
159,"淨慈寺",Jingcisi
160,"景德禪寺",Jingdechansi
161,"旌德教寺",Jingdejiaosi
162,"景德寺",Jingdesi
163,"景德院",Jingdeyuan
164,"景福寺",Jingfusi
165,"淨居寺",Jingjusi
166,"徑山寺",Jingshansi
167,"淨土禪寺",Jingtuchansi
168,"淨土寺",Jingtusi
169,"景賢書院","Jingxian shuyuan"
170,"景星書院","Jingxing shuyuan"
171,"淨性寺",Jingxingsi
172,"靜修書院","Jingxiu shuyuan"
173,"靖忠書院","Jingzhong shuyuan"
174,"金華書院","Jinhua shuyuan"
175,"金仙寺",Jinxiansi
176,"錦沿書院","Jinyan shuyuan"
177,"集慶寺",Jiqingsi
178,"稽山書院","Jishan shuyuan"
179,"九功寺",Jiugongsi
180,"寂照院",Jizhaoyuan
181,"吉州書院","Jizhou shuyuan"
182,"開元寺",Kaiyuansi
183,"考亭書院","Kaoting shuyuan"
184,"柯山書院","Keshan shuyuan"
185,"藍山書院","Lanshan shuyuan"
186,"蘭亭書院","Lanting shuyuan"
187,"蘭玉書院","Lanyu shuyuan"
188,"老泉書院","Laochuan shuyuan"
189,"楞伽寺",Lenggasi
190,"廉溪書院","Lianxi shuyuan"
191,"濂溪書院","Lianxi shuyuan"
192,"靈谷書院","Linggu shuyuan"
193,"靈巖禪寺",Lingyanchansi
194,"靈巖寺",Lingyansi
195,"靈隱寺",Lingyinsi
196,"靈雲寺",Lingyunsi
197,"臨汝書院","Linru shuyuan"
198,"臨汀書院","Linting shuyuan"
199,"歷山書院","Lishan shuyuan"
200,"李氏山房書院","Lishishanfang shuyuan"
201,"柳塘書院","Liutang shuyuan"
202,"麗澤書院","Lize shuyuan"
203,"龍池寺",Longchisi
204,"龍川書院","Longchuan shuyuan"
205,"隆恩寺",Longensi
206,"龍崗書院","Long'Gang shuyuan"
207,"龍華寺",Longhuasi
208,"龍江書院","Longjiang shuyuan"
209,"龍眠書院","Longmian shuyuan"
210,"龍泉寺",Longquansi
211,"隆壽教寺",Longshoujiaosi
212,"龍溪書院","Longxi shuyuan"
213,"龍翔寺",Longxiangsi
214,"龍興寺",Longxingsi
215,"龍澤書院","Longze shuyuan"
216,"落西書院","Luoxi shuyuan"
217,"陸宣公書院","Luxuangong shuyuan"
218,"魯齋書院","Luzhai shuyuan"
219,"瑪瑙寺",Manaosi
220,"茅山書院","Maoshan shuyuan"
221,"鄮山書院","Maoshan shuyuan"
222,"馬洲書院","Mazhou shuyuan"
223,"美化書院","Meihua shuyuan"
224,"梅江書院","Meijiang shuyuan"
225,"蒙山書院","Mengshan shuyuan"
226,"蒙齋書院","Mengzhai shuyuan"
227,"勉齋書院","Mianzhai shuyuan"
228,"妙果寺",Miaoguosi
229,"妙善寺",Miaoshansi
230,"明道書院","Mingdao shuyuan"
231,"明經書院","Mingjing shuyuan"
232,"明善書院","Mingshan shuyuan"
233,"明正書院","Mingzheng shuyuan"
234,"明真寺",Mingzhensi
235,"南禪寺",Nanchansi
236,"南豐書院","Nanfeng shuyuan"
237,"南湖書院","Nanhu shuyuan"
238,"南溪書院","Nanxi shuyuan"
239,"南軒書院","Nanxuan shuyuan"
240,"南陽書院","Nanyang shuyuan"
241,"南嶽書院","Nanyue shuyuan"
242,"能仁寺",Nengrensi
243,"尼山書院","Nishan shuyuan"
