c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
182,138702,20,330
182,138703,21,331
182,138704,22,332
182,138705,23,333
182,138706,24,334
182,138707,25,335
182,139386,26,336
182,139502,27,337
182,139548,28,338
182,139889,29,339
182,139948,30,340
182,139972,31,341
182,140025,32,342
182,140093,33,343
182,140141,34,344
182,140155,35,345
182,140214,36,346
182,140238,37,347
182,140262,38,348
182,140508,39,349
183,22,1,350
184,126,1,351
185,74,1,352
186,97,1,353
187,197,1,354
188,198,1,355
189,468,1,356
189,138886,2,357
190,201,1,358
191,83,1,359
191,96,2,360
191,127,3,361
191,139,4,362
192,202,1,363
193,469,1,364
194,263,1,365
194,264,2,366
195,338,1,367
195,140017,2,368
196,440,1,369
197,107,1,370
198,121,1,371
199,200,1,372
200,199,1,373
201,203,1,374
202,62,1,375
203,374,1,376
203,139622,2,377
204,46,1,378
205,410,1,379
206,204,1,380
207,411,1,381
207,139355,2,382
207,139525,3,383
207,139659,4,384
207,140228,5,385
207,140382,6,386
208,129,1,387
209,205,1,388
210,405,1,389
210,139360,2,390
210,139361,3,391
210,139362,4,392
210,139363,5,393
210,139364,6,394
210,139365,7,395
210,139366,8,396
210,139367,9,397
210,139368,10,398
210,139369,11,399
210,139370,12,400
210,139371,13,401
210,139372,14,402
210,139373,15,403
210,139374,16,404
210,139375,17,405
210,139561,18,406
210,139773,19,407
210,140519,20,408
211,470,1,409
212,132,1,410
213,425,1,411
214,282,1,412
214,139346,2,413
214,139347,3,414
214,139348,4,415
214,139349,5,416
214,139350,6,417
214,139351,7,418
214,139352,8,419
214,139353,9,420
214,139354,10,421
214,139790,11,422
214,139838,12,423
214,139912,13,424
214,139913,14,425
214,140165,15,426
214,140237,16,427
215,206,1,428
216,208,1,429
217,207,1,430
218,12,1,431
218,81,2,432
219,339,1,433
219,140082,2,434
220,137,1,435
221,40,1,436
222,209,1,437
223,43,1,438
224,210,1,439
225,6,1,440
226,211,1,441
227,86,1,442
228,471,1,443
229,273,1,444
230,25,1,445
231,49,1,446
232,136,1,447
233,56,1,448
234,406,1,449
235,450,1,450
235,138339,2,451
236,212,1,452
237,104,1,453
237,213,2,454
238,59,1,455
238,214,2,456
239,28,1,457
239,215,2,458
240,10,1,459
240,216,2,460
241,66,1,461
242,371,1,462
242,438,2,463
242,472,3,464
242,139185,4,465
242,139520,5,466
242,139563,6,467
242,139620,7,468
242,139654,8,469
242,139966,9,470
242,140515,10,471
243,217,1,472
244,149,1,473
245,44,1,474
246,321,1,475
246,139090,2,476
246,139091,3,477
246,140293,4,478
247,20,1,479
248,119,1,480
249,30,1,481
250,54,1,482
251,428,1,483
251,139919,2,484
252,292,1,485
252,138833,2,486
252,138834,3,487
252,138835,4,488
252,138836,5,489
252,138837,6,490
252,139497,7,491
252,139768,8,492
252,139824,9,493
252,139969,10,494
252,140345,11,495
253,439,1,496
253,138830,2,497
253,138831,3,498
253,139450,4,499
253,139930,5,500
253,140245,6,501
253,140528,7,502
254,293,1,503
254,138822,2,504
254,138823,3,505
254,138824,4,506
254,138825,5,507
254,139602,6,508
255,473,1,509
256,220,1,510
257,373,1,511
258,376,1,512
258,138839,2,513
258,138840,3,514
258,138841,4,515
258,138842,5,516
258,138843,6,517
258,138844,7,518
259,221,1,519
260,222,1,520
261,128,1,521
262,223,1,522
263,226,1,523
264,381,1,524
264,138982,2,525
264,138983,3,526
264,138984,4,527
264,138985,5,528
264,138986,6,529
264,138987,7,530
264,138988,8,531
264,138989,9,532
264,138990,10,533
264,138991,11,534
264,138992,12,535
264,138993,13,536
264,138994,14,537
264,139667,15,538
264,140318,16,539
265,274,1,540
265,139380,2,541
266,224,1,542
267,225,1,543
268,29,1,544
269,111,1,545
270,140,1,546
271,69,1,547
272,61,1,548
272,125,2,549
273,368,1,550
274,474,1,551
275,304,1,552
276,39,1,553
277,102,1,554
278,367,1,555
279,118,1,556
280,58,1,557
280,94,2,558
281,284,1,559
282,352,1,560
283,84,1,561
284,340,1,562
285,412,1,563
286,283,1,564
287,227,1,565
288,341,1,566
288,139885,2,567
289,349,1,568
290,396,1,569
290,397,2,570
290,138384,3,571
290,138385,4,572
290,139979,5,573
290,140001,6,574
290,140036,7,575
290,140183,8,576
290,140452,9,577
291,23,1,578
291,228,2,579
291,229,3,580
292,353,1,581
292,139096,2,582
292,139097,3,583
292,139098,4,584
292,139099,5,585
292,139100,6,586
292,139101,7,587
292,139102,8,588
292,139783,9,589
292,140426,10,590
293,230,1,591
294,65,1,592
295,231,1,593
296,32,1,594
296,87,2,595
297,232,1,596
298,45,1,597
299,135,1,598
300,233,1,599
301,31,1,600
302,350,1,601
303,310,1,602
304,342,1,603
304,138577,2,604
304,138578,3,605
304,138579,4,606
304,138580,5,607
304,138581,6,608
304,138582,7,609
304,140056,8,610
305,72,1,611
306,138,1,612
307,446,1,613
307,138342,2,614
307,138343,3,615
308,77,1,616
309,36,1,617
310,354,1,618
310,139781,2,619
311,343,1,620
312,123,1,621
313,79,1,622
314,435,1,623
315,64,1,624
316,147,1,625
317,235,1,626
318,234,1,627
319,275,1,628
320,142,1,629
321,344,1,630
322,278,1,631
322,445,2,632
322,138487,3,633
323,345,1,634
324,120,1,635
324,236,2,636
325,452,1,637
326,285,1,638
326,355,2,639
326,360,3,640
326,138460,4,641
326,138461,5,642
326,138462,6,643
326,138463,7,644
326,138464,8,645
326,138465,9,646
326,138466,10,647
326,138467,11,648
326,138468,12,649
326,138469,13,650
326,138470,14,651
326,138471,15,652
326,138472,16,653
326,138473,17,654
326,138474,18,655
326,138475,19,656
326,138476,20,657
326,139396,21,658
326,139482,22,659
326,139493,23,660
326,139537,24,661
326,139558,25,662
326,139610,26,663
326,139646,27,664
326,139874,28,665
326,140031,29,666
326,140241,30,667
326,140244,31,668
327,276,1,669
327,138482,2,670
327,140070,3,671
328,382,1,672
328,475,2,673
329,451,1,674
330,237,1,675
331,290,1,676
332,476,1,677
333,322,1,678
333,324,2,679
333,447,3,680
333,138158,4,681
333,138159,5,682
333,138160,6,683
333,138161,7,684
333,138162,8,685
333,138163,9,686
333,138164,10,687
333,139787,11,688
333,140022,12,689
333,140087,13,690
333,140089,14,691
333,140187,15,692
333,140259,16,693
333,140268,17,694
333,140388,18,695
333,140414,19,696
333,140448,20,697
333,140517,21,698
333,140531,22,699
334,18,1,700
335,238,1,701
336,239,1,702
337,3,1,703
338,124,1,704
339,294,1,705
339,138789,2,706
339,138790,3,707
339,138791,4,708
339,140021,5,709
339,140392,6,710
340,93,1,711
341,240,1,712
342,242,1,713
343,442,1,714
344,241,1,715
345,75,1,716
346,347,1,717
347,246,1,718
348,356,1,719
348,139121,2,720
348,139535,3,721
348,139549,4,722
348,140011,5,723
348,140079,6,724
349,37,1,725
350,346,1,726
350,138227,2,727
351,8,1,728
352,478,1,729
353,479,1,730
354,430,1,731
354,139218,2,732
354,140013,3,733
355,105,1,734
355,243,2,735
356,113,1,736
357,348,1,737
357,138290,2,738
357,138291,3,739
357,138292,4,740
357,138293,5,741
357,138294,6,742
357,139648,7,743
357,139833,8,744
357,139951,9,745
357,140521,10,746
358,427,1,747
359,429,1,748
360,244,1,749
361,415,1,750
362,245,1,751
363,477,1,752
364,117,1,753
365,68,1,754
366,449,1,755
367,144,1,756
368,383,1,757
368,480,2,758
369,70,1,759
370,50,1,760
371,247,1,761
372,143,1,762
373,481,1,763
373,138679,2,764
374,248,1,765
375,326,1,766
375,384,2,767
375,138677,3,768
375,138678,4,769
375,139568,5,770
376,385,1,771
376,138674,2,772
376,138675,3,773
376,138676,4,774
376,139477,5,775
377,249,1,776
378,148,1,777
379,252,1,778
380,251,1,779
381,250,1,780
382,311,1,781
383,71,1,782
384,370,1,783
385,150,1,784
386,277,1,785
387,482,1,786
388,361,1,787
389,295,1,788
390,115,1,789
391,305,1,790
391,138375,2,791
391,138376,3,792
391,138377,4,793
392,319,1,794
393,309,1,795
393,138378,2,796
393,139556,3,797
393,139879,4,798
393,140282,5,799
393,140310,6,800
393,140420,7,801
393,140430,8,802
394,2,1,803
395,390,1,804
395,139489,2,805
396,76,1,806
397,19,1,807
398,312,1,808
399,484,1,809
400,253,1,810
401,91,1,811
402,300,1,812
403,483,1,813
404,254,1,814
405,419,1,815
406,256,1,816
407,257,1,817
408,255,1,818
409,327,1,819
409,139434,2,820
410,258,1,821
411,134,1,822
412,413,1,823
412,139438,2,824
412,139465,3,825
412,139597,4,826
412,139666,5,827
413,35,1,828
414,329,1,829
415,386,1,830
416,485,1,831
416,138926,2,832
416,138927,3,833
416,139445,4,834
416,139993,5,835
416,140086,6,836
416,140216,7,837
417,280,1,838
418,486,1,839
419,393,1,840
419,398,2,841
420,259,1,842
421,85,1,843
422,151,1,844
423,443,1,845
423,139243,2,846
423,139244,3,847
423,139245,4,848
423,139625,5,849
423,139709,6,850
423,139964,7,851
423,140009,8,852
423,140181,9,853
424,357,1,854
424,139241,2,855
424,139242,3,856
424,139464,4,857
424,140049,5,858
425,437,1,859
425,140272,2,860
426,152,1,861
427,260,1,862
428,41,1,863
428,73,2,864
429,432,1,865
430,88,1,866
431,110,1,867
