c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
62195,,1803040616,18,,,,,
62196,0,18,18,0,0,0,0,0
62196,,1803040616,18,,,,,
62197,0,18,18,0,0,0,0,0
62197,,1803040616,18,,,,,
62198,0,18,18,0,0,0,0,0
62198,,1899,18,,,,,
62199,0,18,18,0,0,0,0,0
62199,,1899,18,,,,,
62200,0,18,18,0,0,0,0,0
62200,,1899,18,,,,,
62201,0,18,18,0,0,0,0,0
62201,,1899,18,,,,,
62202,0,18,18,0,0,0,0,0
62202,,1899,18,,,,,
62203,0,18,18,0,0,0,0,0
62203,,1899,18,,,,,
62204,0,18,18,0,0,0,0,0
62204,,1899,18,,,,,
62205,0,18,18,0,0,0,0,0
62205,,180101011907,18,,,,,
62206,0,18,18,0,0,0,0,0
62206,,180101011907,18,,,,,
62207,0,18,18,0,0,0,0,0
62207,,180101011907,18,,,,,
62208,0,18,18,0,0,0,0,0
62208,,180101011907,18,,,,,
62209,0,18,18,0,0,0,0,0
62209,,18100101,18,,,,,
62210,0,18,18,0,0,0,0,0
62210,,18100101,18,,,,,
62211,0,18,18,0,0,0,0,0
62211,,18100101,18,,,,,
62212,0,18,18,0,0,0,0,0
62212,,18100101,18,,,,,
62213,0,18,18,0,0,0,0,0
62213,,18100101,18,,,,,
62214,0,18,18,0,0,0,0,0
62214,,18100101,18,,,,,
62215,0,18,18,0,0,0,0,0
62215,,18100101,18,,,,,
62216,0,18,18,0,0,0,0,0
62216,,1801060220,18,,,,,
62217,0,18,18,0,0,0,0,0
62217,,1801060220,18,,,,,
62218,0,18,18,0,0,0,0,0
62218,,1801060220,18,,,,,
62219,0,18,18,0,0,0,0,0
62219,,1801060220,18,,,,,
62220,0,18,18,0,0,0,0,0
62220,,1803190304,18,,,,,
62221,0,18,18,0,0,0,0,0
62221,,1803190304,18,,,,,
62222,0,18,18,0,0,0,0,0
62222,,18090105,18,,,,,
62223,0,18,18,0,0,0,0,0
62223,,18090105,18,,,,,
62224,0,18,18,0,0,0,0,0
62224,,1803190303,18,,,,,
62225,0,18,18,0,0,0,0,0
62225,,1803190303,18,,,,,
62226,0,18,18,0,0,0,0,0
62226,,1803190303,18,,,,,
62227,0,18,18,0,0,0,0,0
62227,,1899,18,,,,,
62228,0,18,18,0,0,0,0,0
62228,,1899,18,,,,,
62229,0,18,18,0,0,0,0,0
62229,,1899,18,,,,,
62230,0,18,18,0,0,0,0,0
62230,,180601010412,18,,,,,
62231,0,18,18,0,0,0,0,0
62231,,1803080506,18,,,,,
62232,0,18,18,0,0,0,0,0
62232,,1803080506,18,,,,,
62233,0,18,18,0,0,0,0,0
62233,,1803080506,18,,,,,
62234,0,18,18,0,0,0,0,0
62234,,1803080506,18,,,,,
62235,0,18,18,0,0,0,0,0
62235,,1803080507,18,,,,,
62236,0,18,18,0,0,0,0,0
62236,,1803080507,18,,,,,
62237,0,18,18,0,0,0,0,0
62237,,1803080507,18,,,,,
