c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
62787,0,18,18,0,0,0,0,0
62787,,18110201,18,,,,,
62788,0,18,18,0,0,0,0,0
62788,,1803080203,18,,,,,
62789,0,18,18,0,0,0,0,0
62789,,1803080203,18,,,,,
62790,0,18,18,0,0,0,0,0
62790,,1803080203,18,,,,,
62791,0,18,18,0,0,0,0,0
62791,,1803080203,18,,,,,
62792,0,18,18,0,0,0,0,0
62793,0,18,18,0,0,0,0,0
62794,0,18,18,0,0,0,0,0
62794,,1899,18,,,,,
62795,0,18,18,0,0,0,0,0
62795,,1899,18,,,,,
62796,0,18,18,0,0,0,0,0
62796,,1899,18,,,,,
62797,0,18,18,0,0,0,0,0
62797,,180103021407,18,,,,,
62798,0,18,18,0,0,0,0,0
62798,,180103021407,18,,,,,
62799,0,18,18,0,0,0,0,0
62799,,180103021407,18,,,,,
62800,0,18,18,0,0,0,0,0
62800,,180103021407,18,,,,,
62801,0,18,18,0,0,0,0,0
62801,,180103021407,18,,,,,
62802,0,18,18,0,0,0,0,0
62802,,180103021407,18,,,,,
62803,0,18,18,0,0,0,0,0
62803,,1801010115,18,,,,,
62804,0,18,18,0,0,0,0,0
62804,,1801010115,18,,,,,
62805,0,18,18,0,0,0,0,0
62805,,1801010115,18,,,,,
62806,0,18,18,0,0,0,0,0
62806,,180304021703,18,,,,,
62807,0,18,18,0,0,0,0,0
62807,,180304021703,18,,,,,
62808,0,18,18,0,0,0,0,0
62808,,1899,18,,,,,
62809,0,18,18,0,0,0,0,0
62809,,1899,18,,,,,
62810,0,18,18,0,0,0,0,0
62810,,1899,18,,,,,
62811,0,18,18,0,0,0,0,0
62811,,1899,18,,,,,
62812,0,18,18,0,0,0,0,0
62812,,18032001,18,,,,,
62813,0,18,18,0,0,0,0,0
62813,,18032001,18,,,,,
62814,0,18,18,0,0,0,0,0
62814,,18032001,18,,,,,
62815,0,18,18,0,0,0,0,0
62815,,18032001,18,,,,,
62816,0,18,18,0,0,0,0,0
62816,,18032001,18,,,,,
62817,0,18,18,0,0,0,0,0
62817,,18032001,18,,,,,
62818,0,18,18,0,0,0,0,0
62818,,18032001,18,,,,,
62819,0,18,18,0,0,0,0,0
62819,,18032001,18,,,,,
62820,0,18,18,0,0,0,0,0
62820,,18032001,18,,,,,
62821,0,18,18,0,0,0,0,0
62821,,18032001,18,,,,,
62822,0,18,18,0,0,0,0,0
62822,,18032001,18,,,,,
62823,0,18,18,0,0,0,0,0
62823,,18032001,18,,,,,
62824,0,18,18,0,0,0,0,0
62824,,18032001,18,,,,,
62825,0,18,18,0,0,0,0,0
62825,,18032001,18,,,,,
62826,0,18,18,0,0,0,0,0
62826,,180304021802,18,,,,,
62827,0,18,18,0,0,0,0,0
62827,,180304021802,18,,,,,
62828,0,18,18,0,0,0,0,0
62828,,180304021802,18,,,,,
62829,0,18,18,0,0,0,0,0
62829,,1899,18,,,,,
62830,0,18,18,0,0,0,0,0
62830,,1899,18,,,,,
62831,0,18,18,0,0,0,0,0
62831,,1899,18,,,,,
62832,0,18,18,0,0,0,0,0
62832,,1899,18,,,,,
62833,0,18,18,0,0,0,0,0
62833,,1899,18,,,,,
62834,0,18,18,0,0,0,0,0
62834,,1899,18,,,,,
62835,0,18,18,0,0,0,0,0
62835,,1899,18,,,,,
62836,0,18,18,0,0,0,0,0
62836,,1899,18,,,,,
62837,0,18,18,0,0,0,0,0
62837,,1899,18,,,,,
62838,0,18,18,0,0,0,0,0
62838,,1899,18,,,,,
62839,0,18,18,0,0,0,0,0
62839,,1899,18,,,,,
62840,0,18,18,0,0,0,0,0
62840,,1899,18,,,,,
62841,0,18,18,0,0,0,0,0
62841,,1899,18,,,,,
62842,0,18,18,0,0,0,0,0
62842,,1899,18,,,,,
62843,0,18,18,0,0,0,0,0
62843,,1899,18,,,,,
62844,0,18,18,0,0,0,0,0
62844,,1899,18,,,,,
62845,0,18,18,0,0,0,0,0
62845,,1899,18,,,,,
62846,0,18,18,0,0,0,0,0
62846,,180106022301,18,,,,,
62847,0,18,18,0,0,0,0,0
62847,,180106022301,18,,,,,
62848,0,18,18,0,0,0,0,0
62848,,180106022301,18,,,,,
62849,0,18,18,0,0,0,0,0
62849,,180106022301,18,,,,,
62850,0,18,18,0,0,0,0,0
62850,,180106022301,18,,,,,
62851,0,18,18,0,0,0,0,0
62851,,1801060223,18,,,,,
62852,0,18,18,0,0,0,0,0
62852,,1801060223,18,,,,,
62853,0,18,18,0,0,0,0,0
62853,,1801060223,18,,,,,
62854,0,18,18,0,0,0,0,0
62854,,1801060223,18,,,,,
62855,0,18,18,0,0,0,0,0
62855,,1801060223,18,,,,,
62856,0,18,18,0,0,0,0,0
62856,,1801060223,18,,,,,
62857,0,18,18,0,0,0,0,0
62857,,1801060223,18,,,,,
62858,0,18,18,0,0,0,0,0
62858,,180404010204,18,,,,,
62859,0,18,18,0,0,0,0,0
62859,,180404010204,18,,,,,
62860,0,18,18,0,0,0,0,0
62860,,180404010204,18,,,,,
62861,0,18,18,0,0,0,0,0
62861,,180404010204,18,,,,,
62862,0,18,18,0,0,0,0,0
62862,,180404010204,18,,,,,
62863,0,18,18,0,0,0,0,0
62863,,180404010204,18,,,,,
62864,0,18,18,0,0,0,0,0
62864,,180404010204,18,,,,,
62865,0,18,18,0,0,0,0,0
62865,,180404010204,18,,,,,
62866,0,18,18,0,0,0,0,0
62866,,180404010204,18,,,,,
62867,0,18,18,0,0,0,0,0
62867,,180404010204,18,,,,,
62868,0,18,18,0,0,0,0,0
62868,,180404010204,18,,,,,
62869,0,18,18,0,0,0,0,0
62869,,180404010204,18,,,,,
62870,0,18,18,0,0,0,0,0
62870,,180404010204,18,,,,,
62871,0,18,18,0,0,0,0,0
62871,,180404010204,18,,,,,
62872,0,18,18,0,0,0,0,0
62872,,18032104,18,,,,,
62873,0,18,18,0,0,0,0,0
62873,,18032104,18,,,,,
62874,0,18,18,0,0,0,0,0
62874,,18032104,18,,,,,
62875,0,18,18,0,0,0,0,0
62875,,18032104,18,,,,,
62876,0,18,18,0,0,0,0,0
62876,,18032104,18,,,,,
62877,0,18,18,0,0,0,0,0
62877,,180404010104,18,,,,,
62878,0,18,18,0,0,0,0,0
62878,,180404010104,18,,,,,
62879,0,18,18,0,0,0,0,0
62879,,180404010104,18,,,,,
62880,0,18,18,0,0,0,0,0
62880,,180404010104,18,,,,,
62881,0,18,18,0,0,0,0,0
62881,,180404010104,18,,,,,
62882,0,18,18,0,0,0,0,0
62882,,180404010104,18,,,,,
62883,0,18,18,0,0,0,0,0
62883,,180404010104,18,,,,,
62884,0,18,18,0,0,0,0,0
62884,,180404010104,18,,,,,
62885,0,18,18,0,0,0,0,0
62885,,180404010104,18,,,,,
62886,0,18,18,0,0,0,0,0
62886,,180404010104,18,,,,,
62887,0,18,18,0,0,0,0,0
62887,,180404010104,18,,,,,
62888,0,18,18,0,0,0,0,0
62888,,180404010104,18,,,,,
62889,0,18,18,0,0,0,0,0
62889,,180404010104,18,,,,,
62890,0,18,18,0,0,0,0,0
62890,,180404010104,18,,,,,
62891,0,18,18,0,0,0,0,0
62891,,180503,18,,,,,
62892,0,18,18,0,0,0,0,0
62892,,180503,18,,,,,
62893,0,18,18,0,0,0,0,0
62893,,180503,18,,,,,
62894,0,18,18,0,0,0,0,0
62894,,180503,18,,,,,
