c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
113073,292,631,20,,,,,,,,,9599,14017,"元代釋允才113073居嘉興石佛寺",,,,
113075,3,4,20,,,,,,,,,9599,14019,"元代釋允清113075居衢州子湖安國禪寺",,,,
113075,358,797,20,,,,,,,,,9599,14019,"元代釋允清113075居信州玉山興教禪寺",,,,
113077,376,821,20,,,,,,,,,9599,14021,"元代釋元旭113077居四明延壽寺",,,,
113079,290,619,20,,,,,,,,,9599,14023,"元代釋元長113079居義烏伏龍山聖壽寺",,,,
113082,99,172,20,,,,,,,,,9599,14026,"元代釋元湛113082居黃巖州法輪院",,,,
113086,41,73,20,,,,,,,,,9599,14031,"元代釋元瀞113086居長慶寺",,,,
113086,332,727,20,,,,,,,,,9599,14031,"元代釋元瀞113086居天衣萬壽寺",,,,
113089,107,183,20,,,,,,,,,9599,14034,"元代釋天倫113089居定海縣佛巖寺",,,,
113090,389,838,20,,,,,,,,,9599,14035,"元代釋文才113090居五臺山祐國寺",,,,
113091,110,186,20,,,,,,,,,9599,14036,"元代釋文侃113091居安陽三泉福勝院",,,,
113092,373,813,20,,,,,,,,,9599,14037,"元代釋文信113092居耀州延昌寺",,,,
113093,23,46,20,,,,,,,,,9599,14038,"元代釋文信113093居石湖寶華禪寺",,,,
113095,130,214,20,,,,,,,,,9599,14040,"元代釋文煥113095居居臨川海雲 精舍",,,,
113096,329,724,20,,,,,,,,,9599,14041,"元代釋文靜113096居山陰天章寺; Temple ID 139518 Location: 山陰縣蘭渚山; Founding: 宋代; Other: 兰亭旧地",,,,
113097,139,233,20,,,,,,,,,9599,14042,"元代釋文謙113097居台州鴻福寺",,,,
113098,137,223,20,,,,,,,,,9599,14043,"元代釋文藻113098居湖州何山禪寺",,,,
113099,253,496,20,,,,,,,,,9599,14044,"元代釋月林113099居瓊山普明寺",,,,
113100,228,443,20,,,,,,,,,9599,14045,"元代釋水盛113100居西湖之妙果寺",,,,
113101,359,798,20,,,,,,,,,9599,14046,"元代釋世愚113101居廣德石溪興龍禪寺",,,,
113102,19,21,20,,,,,,,,,9599,14047,"元代釋世誠113102居南昌般若寺",,,,
113103,109,185,20,,,,,,,,,9599,14048,"元代釋以假113103居白雲山福林院",,,,
113105,147,251,20,,,,,,,,,9599,14050,"元代釋古潭113105居寓慧日寺",,,,
113105,242,464,20,,,,,,,,,9599,14050,"元代釋古潭113105居居能仁寺",,,,
113107,205,379,20,,,,,,,,,9599,14052,"元代釋可授113107居",,,,
113107,207,381,20,,,,,,,,,9599,14052,"元代釋可授113107居",,,,
113107,412,873,20,,,,,,,,,9599,14052,"元代釋可授113107居",,,,
113110,31,62,20,,,,,,,,,9599,14055,"元代釋可觀113110居杭州褒忠衍福寺",,,,
113119,81,151,20,,,,,,,,,9599,14064,"元代釋正印113119居澱山寺",,,,
113120,311,670,20,,,,,,,,,9599,14065,"元代釋正因113120居杭州殊勝寺",,,,
113122,20,24,20,,,,,,,,,9599,14067,"元代釋正珪113122居池州路報恩光孝禪寺",,,,
113122,405,865,20,,,,,,,,,9599,14067,"元代釋正珪113122居宛陵章教寺",,,,
113128,242,462,20,,,,,,,,,9599,14073,"元代釋永珍113128居常熟能仁寺",,,,
113128,333,730,20,,,,,,,,,9599,14073,"元代釋永珍113128居平江萬壽寺",,,,
113129,50,97,20,,,,,,,,,9599,14074,"元代釋永真113129居吳江崇福永樂寺",,,,
113131,203,376,20,,,,,,,,,9599,14076,"元代釋永寧113131居宜興龍池寺",,,,
113134,61,120,20,,,,,,,,,9599,14079,"元代釋玄堅113134居雲南大德寺",,,,
113135,106,182,20,,,,,,,,,9599,14080,"元代釋玄鑑113135居雲南佛嚴寺",,,,
113139,159,271,20,,,,,,,,,9599,14084,"元代釋夷簡113139居杭州淨慈寺; Temple ID 139437 Location: 錢塘縣南屏山; Founding: 吴越时; Other: 初名慧日永明院，南宋时代遭火、复兴，康熙三十八今名",,,,
113139,322,682,20,,,,,,,,,9599,14084,"元代釋夷簡113139居南京天界寺",,,,
113140,387,836,20,,,,,,,,,9599,14085,"元代釋如山113140居湧泉寺",,,,
113141,325,687,20,,,,,,,,,9599,14086,"元代釋如川113141居天寧禪寺",,,,
113142,234,449,20,,,,,,,,,9599,14087,"元代釋如异113142居餘姚靈源山明真寺",,,,
113143,193,364,20,,,,,,,,,9599,14088,"元代釋如珙113143居雁山靈巖禪寺",,,,
113143,403,863,20,,,,,,,,,9599,14088,"元代釋如珙113143居育王廣利禪寺",,,,
113144,328,723,20,,,,,,,,,9599,14089,"元代釋如砥113144居天童寺",,,,
113145,182,312,20,,,,,,,,,9599,14090,"元代釋如照113145居開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺",,,,
113149,213,411,20,,,,,,,,,9599,14094,"元代釋守忠113149居金陵龍翔寺",,,,
113151,416,881,20,,,,,,,,,9599,14096,"元代釋守衜113151居治平寺",,,,
113153,333,729,20,,,,,,,,,9599,14098,"元代釋自如113153居浙江萬壽寺",,,,
113155,101,174,20,,,,,,,,,9599,14100,"元代釋自恢113155居海鹽之法喜寺",,,,
113156,210,389,20,,,,,,,,,9599,14101,"元代釋自悅113156居餘姚龍泉寺",,,,
113157,419,890,20,,,,,,,,,9599,14102,"元代釋自閒113157居金華智者寺; Temple ID 139541 Location: 金華縣西北; Other: 梁智者道场，金华第一刹",,,,
113159,333,728,20,,,,,,,,,9599,14104,"元代釋至仁113159居蘇州萬壽寺",,,,
113160,68,129,20,,,,,,,,,9599,14105,"元代釋至明113160居四明大梅寺",,,,
113163,112,188,20,,,,,,,,,9599,14108,"元代釋至訥113163居崑山福嚴寺",,,,
113165,145,239,20,,,,,,,,,9599,14110,"元代釋至溫113165居上都華嚴寺",,,,
113169,78,140,20,,,,,,,,,9599,14114,"元代釋行全113169居兗州布金山大雲寺",,,,
113170,49,87,20,,,,,,,,,9599,14116,"元代釋行英113170居處州崇福寺",,,,
113171,59,109,20,,,,,,,,,9599,14117,"元代釋行修113171居杭州慈修護聖禪院",,,,
113172,274,601,20,,,,,,,,,9599,14118,"元代釋行滿113172居仰山棲隱寺",,,,
113173,423,895,20,,,,,,,,,9599,14119,"元代釋行端113173居湖州資福寺",,,,
113174,273,600,20,,,,,,,,,9599,14120,"元代釋行魁113174居居長洲陳湖 磧沙寺",,,,
113175,399,859,20,,,,,,,,,9599,14121,"元代釋行興113175居雲 居庵",,,,
113179,310,668,20,,,,,,,,,9599,14125,"元代釋克新113179居嘉興水西寺",,,,
113180,24,47,20,,,,,,,,,9599,14126,"元代釋妙文113180居大都寶集寺",,,,
113181,163,283,20,,,,,,,,,9599,14127,"元代釋妙用113181居景德院",,,,
113183,182,311,20,,,,,,,,,9599,14129,"元代釋妙恩113183居泉州開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺",,,,
113184,166,292,20,,,,,,,,,9599,14130,"元代釋妙高113184居杭州徑山寺",,,,
113188,32,63,20,,,,,,,,,9599,14135,"元代釋妙聲113188居本郡北禪寺; Temple ID 138314 Location: 長洲縣治東北; Founding: 晋载顒舍宅",,,,
113190,314,673,20,,,,,,,,,9599,14137,"元代釋希陵113190居袁州大仰山太平興國寺",,,,
113191,154,264,20,,,,,,,,,9599,14138,"元代釋希顏113191居玉峰薦嚴寺",,,,
113194,123,204,20,,,,,,,,,9599,14141,"元代釋志誠113194居大都廣化寺",,,,
113197,157,268,20,,,,,,,,,9599,14144,"元代釋戒度113197居居餘姚極樂 寺",,,,
113204,171,298,20,,,,,,,,,9599,14151,"元代釋並學113204居杭州淨性寺",,,,
113205,86,156,20,,,,,,,,,9599,14152,"元代釋來復113205居慈溪之定水院",,,,
113206,52,99,20,,,,,,,,,9599,14153,"元代釋宗明113206居隨州崇寧萬壽寺",,,,
113207,79,149,20,,,,,,,,,9599,14155,"元代釋宗衍113207居嘉禾德藏寺",,,,
113207,189,356,20,,,,,,,,,9599,14155,"元代釋宗衍113207居石湖楞伽寺",,,,
113208,103,179,20,,,,,,,,,9599,14156,"元代釋宗偉113208居奉恩寺",,,,
113209,246,475,20,,,,,,,,,9599,14157,"元代釋宗照113209居盤龍寺",,,,
113211,51,98,20,,,,,,,,,9599,14159,"元代釋定演113211居大都崇國寺",,,,
113213,348,769,20,,,,,,,,,9599,14161,"元代釋念常113213居嘉興祥符寺",,,,
113221,339,755,20,,,,,,,,,9599,14169,"元代釋法印113221居五臺山文殊寺",,,,
113224,331,726,20,,,,,,,,,9599,14173,"元代釋法空113224居居忻州萬安 禪院",,,,
113230,66,127,20,,,,,,,,,9599,14179,"元代釋法喜113230居邠州大開元寺",,,,
113230,138,224,20,,,,,,,,,9599,14179,"元代釋法喜113230居當州洪福寺",,,,
113230,307,663,20,,,,,,,,,9599,14179,"元代釋法喜113230居平江雙塔寺",,,,
113232,255,509,20,,,,,,,,,9599,14181,"元代釋法聞113232居居大普慶寺",,,,
113232,382,831,20,,,,,,,,,9599,14181,"元代釋法聞113232居長安義善寺",,,,
113233,2,3,20,,,,,,,,,9599,14182,"元代釋法憶113233居雞足山安定寺",,,,
113236,196,369,20,,,,,,,,,9599,14185,"元代釋持定113236居酃縣靈雲寺",,,,
113238,26,50,20,,,,,,,,,9599,14187,"元代釋洪益113238居石龍山寶林寺",,,,
113239,368,808,20,,,,,,,,,9599,14188,"元代釋炳同113239居鄞之雪竇寺",,,,
113241,164,284,20,,,,,,,,,9599,14190,"元代釋英辯113241居泰州景福寺",,,,
113243,302,651,20,,,,,,,,,9599,14192,"元代釋原妙113243居天目山獅子院",,,,
113245,363,802,20,,,,,,,,,9599,14194,"元代釋悅可113245居居西隱寺",,,,
113246,328,722,20,,,,,,,,,9599,14195,"元代釋悟光113246居四明天童寺",,,,
113250,69,130,20,,,,,,,,,9599,14199,"元代釋海印113250居居鄒縣大明 禪院",,,,
113251,289,618,20,,,,,,,,,9599,14200,"元代釋珠明113251居餘杭聖果寺",,,,
113254,153,263,20,,,,,,,,,9599,14203,"元代釋祖傑113254居永嘉江心寺; Temple ID 139562 Location: 永嘉縣孤嶼山; Founding: 唐咸通中",,,,
113255,102,177,20,,,,,,,,,9599,14205,"元代釋祖進113255居封崇寺",,,,
113256,257,511,20,,,,,,,,,9599,14206,"元代釋祖瑛113256居吳江普向院",,,,
113258,195,367,20,,,,,,,,,9599,14208,"元代釋祖誾113258居靈隱寺",,,,
113260,285,613,20,,,,,,,,,9599,14210,"元代釋祖鐙113260居台州之上雲峯寺",,,,
113264,214,412,20,,,,,,,,,9599,14214,"元代釋崇琛113264居真定龍興寺",,,,
113265,304,653,20,,,,,,,,,9599,14215,"元代釋崇超113265居居杭州東山 壽聖寺",,,,
113266,124,206,20,,,,,,,,,9599,14216,"元代釋崇裕113266居廣利禪寺",,,,
113266,393,845,20,,,,,,,,,9599,14216,"元代釋崇裕113266居廬山圓通寺",,,,
113270,129,213,20,,,,,,,,,9599,14221,"元代釋惟則113270居海鹽海門寺",,,,
113271,388,837,20,,,,,,,,,9599,14223,"元代釋梵琦113271居海鹽永祚寺",,,,
