AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,FKString,FKName,skip,IndexOnField,DataFormat,NULL_allowed
assoc_data,c_assoc_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,ASSOC_DATA_nian_hao,0,,Integer,1
assoc_data,c_assoc_range,year_range_codes,c_range_code,c_range_code,ASSOC_DATA_year_range_code,0,,Integer,1
assoc_data,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,c_inst_name_code,ASSOC_DATA_SOCIAL_INSTITUTION_NAME_CODE,0,,Integer,0
assoc_data,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_CODES,c_inst_code,"c_inst_name_code,c_inst_code",ASSOC_DATA_SOCIAL_INSTITUTION_CODE,0,,Integer,0
assoc_data,c_kin_code,KINSHIP_CODES,c_kincode,c_kincode,ASSOC_DATA_KIN_CODE,0,Primary,Long,0
assoc_data,c_kin_id,BIOG_MAIN,c_personid,c_personid,ASSOC_DATA_KIN_ID,1,Primary,Long,0
assoc_data,c_litgenre_code,literarygenre_codes,c_lit_genre_code,c_lit_genre_code,ASSOC_DATA_literarygenre_code,0,,Integer,1
assoc_data,c_occasion_code,OCCASION_CODES,c_occasion_code,c_occasion_code,ASSOC_DATA_OCCASION_CODE,0,,Integer,1
assoc_data,c_personid,BIOG_MAIN,c_personid,c_personid,ASSOC_DATA_PERSON_ID,1,Primary,Long,0
assoc_data,c_source,TEXT_CODES,c_textid,c_textid,ASSOC_DATA_TEXT_CODE,0,,Long,0
ASSOC_DATA,c_tertiary_personid,BIOG_MAIN,c_personid,c_personid,ASSOC_DATA_THIRD_PERSON_ID,0,,Long,1
assoc_data,c_topic_code,SCHOLARLYTOPIC_CODES,c_topic_code,c_topic_code,ASSOC_DATA_SCHOLARLYTOPIC_CODE,0,,Integer,1
biog_addr_data,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,BIOG_ADDR_DATA_ADDR_CODE,1,Primary,Long,0
biog_addr_data,c_addr_type,BIOG_ADDR_CODES,c_addr_type,c_addr_type,BIOG_ADDR_DATA_BIOG_ADDR_CODE,0,Primary,Integer,0
biog_addr_data,c_fy_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,BIOG_ADDR_DATA_GANZHI_FY,0,,Integer,1
biog_addr_data,c_fy_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_ADDR_DATA_nian_hao_fy,1,,Integer,1
biog_addr_data,c_fy_range,year_range_codes,c_range_code,c_range_code,BIOG_ADDR_DATA_year_range_code_fy,0,,Integer,1
biog_addr_data,c_ly_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,BIOG_ADDR_DATA_GANZHI_LY,0,,Integer,1
biog_addr_data,c_ly_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_ADDR_DATA_nian_hao_ly,0,,Integer,1
biog_addr_data,c_ly_range,year_range_codes,c_range_code,c_range_code,BIOG_ADDR_DATA_year_range_code_ly,0,,Integer,1
biog_addr_data,c_personid,BIOG_MAIN,c_personid,c_personid,BIOG_ADDR_DATA_PERSON_ID,1,Primary,Long,0
biog_addr_data,c_source,TEXT_CODES,c_textid,c_textid,BIOG_ADDR_DATA_TEXT_CODE,0,,Long,0
BIOG_INST_DATA,c_bi_by_nh_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,BIOG_INST_DATA_NIAN_HAO_BY,0,,Integer,1
BIOG_INST_DATA,c_bi_by_range,YEAR_RANGE_CODES,c_range_code,c_range_code,BIOG_INST_DATA_YEAR_RANGE_CODE_BY,0,,Integer,1
BIOG_INST_DATA,c_bi_ey_nh_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,BIOG_INST_DATA_NIAN_HAO_EY,0,,Integer,1
BIOG_INST_DATA,c_bi_ey_range,YEAR_RANGE_CODES,c_range_code,c_range_code,BIOG_INST_DATA_YEAR_RANGE_CODE_EY,0,,Integer,1
BIOG_INST_DATA,c_bi_role_code,BIOG_INST_CODES,c_bi_role_code,c_bi_role_code,BIOG_INST_DATA_BIOG_INST_CODE,0,"Primary Key",Integer,0
BIOG_INST_DATA,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,c_inst_name_code,BIOG_INST_DATA_SOCIAL_INSTITUTION_NAME_CODE,0,"Primary Key",Integer,0
BIOG_INST_DATA,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_CODES,c_inst_code,"c_inst_name_code,c_inst_code",BIOG_INST_DATA_SOCIAL_INSTITUTION_CODE,0,"Primary Key",Integer,0
BIOG_INST_DATA,c_personid,BIOG_MAIN,c_personid,c_personid,BIOG_INST_DATA_PERSON_ID,0,"Primary Key",Long,0
BIOG_INST_DATA,c_source,TEXT_CODES,c_textid,c_textid,BIOG_INST_DATA_TEXT_CODE,0,,Long,0
