c_textid,c_personid,c_name,c_lastname,c_firstname,c_name_chn,c_addr_id,c_genre_code,c_female,c_floruit,c_birthyear,c_deathyear,c_death_age
3925,0,"Cai Fangbing",Cai,"Fangbing,","蔡方炳",0,0,N,1911,0,0,0
3949,0,"Cui Bao",Cui,"Bao,","崔豹",0,0,N,350,0,0,0
3967,0,Tulichen,"Tulichen,",,"圖理琛",0,0,N,1715,0,0,0
3970,0,"Duan Anjie",Duan,"Anjie,","段安節",0,0,N,906,0,0,0
3980,0,"Dongfang Shuo",Dongfang,"Shuo,","東方朔",0,0,N,-138,0,0,0
4113,0,"Weichi Shu",Weichi,"Shu,","尉遲樞",0,0,N,873,0,0,0
4134,0,"Wei Biao",Wei,"Biao,","魏標",0,0,N,1911,0,0,0
4158,0,"Weng Guangping",Weng,"Guangping,","翁廣平",7688,14,N,1752,0,0,0
4159,0,Wu,"Wu,",,"吳",0,0,N,1279,0,0,0
4160,0,"Wu Chansi",Wu,"Chansi,","吳闡思",7530,0,N,1911,0,0,0
4234,0,Yangmanuo,"Yangmaruo,",,"陽瑪諾",0,0,N,1596,0,0,0
4235,0,"Yang Bin",Yang,"Bin,","楊賓",0,0,N,1911,0,0,0
4268,0,"Du Chunsheng",Du,"Chunsheng,",,0,0,N,0,0,0,0
4291,0,"Huan Kuan,",Huan,"Kuan,",,0,0,N,220,0,0,0
4320,0,"Yugu laoren","Yugu laoren,",,"愚谷老人",0,0,N,1279,0,0,0
4372,0,"Yuan Dingyuan",Yuan,"Dingyuan,","袁定遠",0,0,N,1911,0,0,0
4393,0,"Yun Ge",Yun,"Ge,","惲格",0,0,N,1911,0,0,0
4431,0,"Qiao Sou",Jiao,"Sou,","樵叟",0,0,N,1195,0,0,0
4435,0,"Zhuang Shuzu",Zhuang,"Shuzu,","莊述祖",7531,0,N,1809,0,0,0
4438,0,"Sha Keshi",Sha,"Keshi,","沙克什",0,0,N,1367,0,0,0
4458,0,"Liu Haosui","Liu Haosui",,"劉號遂",0,0,N,1925,0,0,0
4465,0,"Rao Zongyi",Rao,Zongyi,"饒宗頤",0,0,N,1946,0,0,0
4475,0,"Wan Nan",Wan,Nan,"萬楠",7741,3,N,1750,0,0,0
4491,0,"Xing Bingcheng",Xing,Bingcheng,"刑秉誠",7399,3,N,1719,0,0,0
4498,0,"Li Ba",Li,Ba,"李拔",7782,3,N,1762,0,0,0
4535,0,"Shu Jingheng",Shu,Jingheng,"舒景蘅",0,0,N,1915,0,0,0
4545,0,"Meng Pengnian",Meng,Pengnian,"孟鵬年",0,0,N,1970,0,0,0
4569,0,"Fang Chengbao",Fang,Chengbao,"方承保",8224,3,N,1790,0,0,0
4594,0,"Shan Shixing",Shan,Shixing,"單詩興",8474,3,N,1871,0,0,0
4602,0,"Hong Ruogao",Hong,Ruogao,"洪若皋",7639,3,N,1683,0,0,0
4605,0,"Ouyang Enlin",Ouyang,Enlin,"歐陽恩霖",8344,3,N,1872,0,0,0
4627,0,"Yu Baochun",Yu,Baochun,"余保純",8476,3,N,1819,0,0,0
4635,0,"Xi Lai",Xi,Lai,"錫萊",7915,3,N,1872,0,0,0
4639,0,"Kang Naixin",Kang,Naixin,"康乃心",7404,3,N,1706,0,0,0
4645,0,"Liao Biqi",Liao,Biqi,"廖必琦",7848,3,N,1758,0,0,0
4647,0,"You Duanyou",You,Duanyou,"游端友",7705,3,N,1781,0,0,0
4652,0,"Wen Bichao",Wen,Bichao,"文筆超",8734,3,N,1877,0,0,0
4653,0,"Zhou Bin",Zhou,Bin,"周賓",7764,3,N,1891,0,0,0
4667,0,"Zhang Baoshen",Zhang,Baoshen,"張葆",7797,3,N,1855,0,0,0
4673,0,"Gong Daojiang",Gong,Daojiang,"龔導江",7409,3,N,1770,0,0,0
4678,0,"He ?",He,?,"何 ?",8237,3,N,1667,0,0,0
4691,0,"Song ?",Song,?,"宋 ?",7740,3,N,1673,0,0,0
4701,0,"Ni Fu",Ni,Fu,"倪傅",7706,3,N,1673,0,0,0
4707,0,"Cao Jing",Cao,Jing,"曹京",7702,3,N,1768,0,0,0
4728,0,"Liang Dakun",Liang,Dakun,"粱大鯤",8039,3,N,1741,0,0,0
4729,0,"Yan Changming",Yan,Changming,"嚴長明",8939,3,N,1779,0,0,0
4732,0,"Jiang Bingzhang",Jiang,Bingzhang,"姜炳璋",7631,3,N,1758,0,0,0
4733,0,"Chen ?",Chen,?,"陳 ?",8398,3,N,1899,0,0,0
4744,0,"Dou Jingyan",Dou,Jingyan,"竇景燕",7321,3,N,1827,0,0,0
4750,0,"Huang Bencheng",Huang,Bencheng,"黃本誠",8079,3,N,1776,0,0,0
4766,0,"Ning Kai",Ning,Kai,"甯楷",7536,3,N,1797,0,0,0
4768,0,"Ye Baoshu",Ye,Baoshu,"葉",0,0,N,1974,0,0,0
4775,0,"Zu Yongjie",Zu,Yongjie,"祖永杰",7290,3,N,1649,0,0,0
4783,0,"Tu Ying",Tu,Ying,"屠英",8401,3,N,1833,0,0,0
4784,0,"Zheng Dajin",Zheng,Dajin,"鄭大進",7284,3,N,1762,0,0,0
4791,0,"Xiong Luqing",Xiong,Luqing,"熊履青",8806,3,N,0,0,0,0
4800,0,"Ke Shaomin,",Ke,"Shaomin,","柯劭忞",0,0,N,1367,0,0,0
4812,0,"Ai Fucun",Ai,"Fucun,","哀馥村",7956,3,N,1910,0,0,0
4823,0,"Shi Binglin",Shi,"Binglin,","史丙麟",8248,3,N,1906,0,0,0
4825,0,"Tonghe xian County government,","Tonghe xian","County government,","通河縣政府",0,0,N,1914,0,0,0
4835,0,"Zhao Bin",Zhao,"Bin,","趙彬",0,0,N,1909,0,0,0
5730,0,"Jing Fang",Jing,Fang,"景芳",5081,3,N,1506,0,0,0
5752,0,"Gu Cunren",Gu,Cunren,"顧存仁",4594,3,N,1571,0,0,0
5760,0,"Mao Dejing",Mao,Dejing,"毛德京",5411,3,N,1556,0,0,0
5769,0,"Fan Gao",Fan,Gao,"范鎬",4675,3,N,1549,0,0,0
5778,0,"Min Wenzhen",Min,Wenzhen,"閔文振",5990,3,N,1538,0,0,0
5786,0,"Fei Cai",Fei,Cai,"費寀",5451,3,N,1525,0,0,0
5793,0,"Bao Daguan",Bao,Daguan,"包大爟",4876,3,N,1573,0,0,0
5799,0,"An Du",An,Du,"安都",5033,3,N,1524,0,0,0
5811,0,"Deng Fu",Deng,Fu,"鄧韍",4924,3,N,1527,0,0,0
5823,0,"Tan Dachu",Tan,Dachu,"譚大初",6096,3,N,1523,0,0,0
5852,0,"Wenren Quan",Wenren,Quan,"聞人詮",4630,3,N,1538,0,0,0
