tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
83,2107,29843,0,-1,-1,-1,-1,,0000000,,TTS,20070312,PBOL,20140705
84,2108,630,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
85,2109,33249,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
86,2110,10187,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
87,2111,669,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
88,2112,33212,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
89,2113,1094,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
90,2114,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
91,2115,30305,0,-1,-1,-1,-1,,0000000,,BDSYX,20070714,,
92,2116,10831,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
93,2117,17956,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
94,2118,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
95,2119,17514,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
96,2120,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
97,2121,18597,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
98,2122,3382,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
99,2123,1384,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
100,2124,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
101,2125,10565,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
102,2126,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
103,2127,8064,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
104,2128,3402,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
105,2129,30222,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
106,2130,30222,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
107,2131,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
108,2132,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
109,2133,7111,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
110,2134,7111,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
111,2135,7111,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
112,2136,7111,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
113,2137,10617,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
114,2138,870,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
115,2139,10157,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
116,2140,30632,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
117,2141,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
118,2142,7263,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
119,2144,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
120,2144,40159,0,-1,-1,-1,-1,,0000000,,FCF,20070414,,
121,2145,34252,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
122,2146,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
123,2147,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
124,2148,29844,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
125,2149,10189,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
126,2150,10199,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
127,2151,420,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
128,2152,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
129,2153,29144,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
130,2154,33481,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
131,2155,8078,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
132,2156,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
133,2157,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
134,2158,29653,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
135,2159,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
136,2160,1156,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
137,2161,29845,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
138,2162,3580,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
139,2163,8089,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
140,2164,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
141,2165,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
142,2166,3594,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
143,2167,3595,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
144,2168,1220,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
145,2169,11800,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
146,2170,1237,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
147,2171,3624,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
148,2172,34482,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
149,2173,35558,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
150,2174,8098,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
151,2176,3640,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
152,2177,3640,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
153,2178,3640,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
154,2179,1310,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
155,2180,3640,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
156,2182,10207,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
157,2183,33866,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
158,2184,33877,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
159,2185,7059,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
160,2186,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
161,2186,30399,0,-1,-1,-1,-1,,0000000,,load,20100825,,
162,2186,30590,0,-1,-1,-1,-1,,0000000,,load,20100825,,
163,2186,33574,0,-1,-1,-1,-1,,0000000,,load,20100825,,
164,2186,33903,0,-1,-1,-1,-1,,0000000,,load,20100825,,
165,2186,35188,0,-1,-1,-1,-1,,0000000,,load,20100825,,
166,2186,55824,0,-1,-1,-1,-1,,0000000,,load,20100825,,
167,2186,57234,0,-1,-1,-1,-1,,0000000,,load,20100825,,
168,2186,57421,0,-1,-1,-1,-1,,0000000,,load,20100825,,
169,2186,57501,0,-1,-1,-1,-1,,0000000,,load,20100825,,
170,2186,57565,0,-1,-1,-1,-1,,0000000,,load,20100825,,
171,2186,59070,0,-1,-1,-1,-1,,0000000,,load,20100825,,
172,2186,60237,0,-1,-1,-1,-1,,0000000,,load,20100825,,
173,2186,61226,0,-1,-1,-1,-1,,0000000,,load,20100825,,
174,2186,62535,0,-1,-1,-1,-1,,0000000,,load,20100825,,
175,2186,64173,0,-1,-1,-1,-1,,0000000,,load,20100825,,
176,2186,65534,0,-1,-1,-1,-1,,0000000,,load,20100825,,
177,2186,65642,0,-1,-1,-1,-1,,0000000,,load,20100825,,
178,2187,10451,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
179,2188,10087,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
180,2189,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
181,2190,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
182,2191,11582,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
183,2192,1384,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
184,2193,1384,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
185,2194,1384,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
186,2195,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
187,2196,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
188,2197,10767,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
189,2198,1397,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
190,2199,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
191,2201,29653,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
192,2201,34013,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
193,2202,10777,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
194,2203,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
195,2204,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
196,2205,17956,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
197,2206,1450,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
198,2207,1450,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
199,2208,1450,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
200,2209,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
201,2210,1460,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
202,2211,10927,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
203,2213,8113,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
204,2214,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
205,2215,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
206,2216,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
207,2217,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
208,2218,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
209,2219,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
210,2220,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
211,2221,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
212,2222,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
213,2223,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
214,2224,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
215,2225,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
216,2226,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
217,2227,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
218,2228,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
219,2229,28192,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
220,2230,1488,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
221,2231,34178,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
222,2232,30606,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
223,2233,1493,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
224,2234,1493,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
225,2235,1493,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
226,2236,8115,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
227,2237,19168,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
228,2238,1496,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
229,2239,3767,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
230,2240,3767,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
231,2241,3767,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
232,2242,7064,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
233,2243,8116,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
234,2244,1558,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
235,2245,33481,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
236,2246,33118,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
237,2247,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
238,2248,30192,0,-1,-1,-1,-1,,0000000,,load,20100825,,
239,2248,30713,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
240,2249,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
241,2250,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
242,2251,29854,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
