tts_sysno,c_personid,c_sequence,c_status_code,c_firstyear,c_fy_nh_code,c_fy_nh_year,c_fy_range,c_lastyear,c_ly_nh_code,c_ly_nh_year,c_ly_range,c_supplement,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
42173,53284,0,8,,0,,,,0,,,,7596,23991,,load,20101201,,
42174,53285,0,8,,0,,,,0,,,,7596,23992,,load,20101201,,
42175,53285,0,253,,0,,,,0,,,,7596,23992,,load,20101201,,
42176,53286,0,8,,0,,,,0,,,,7596,23993,,load,20101201,,
42177,53286,0,102,,0,,,,0,,,,7596,23993,,load,20101201,,
42178,53287,0,8,,0,,,,0,,,,7596,23994,,load,20101201,,
42179,53288,0,8,,0,,,,0,,,,7596,23995,,load,20101201,,
42180,53289,0,8,,0,,,,0,,,,7596,23996,,load,20101201,,
42181,53289,0,262,,0,,,,0,,,,7596,23996,,load,20101201,,
42182,53290,0,8,,0,,,,0,,,,7596,23997,,load,20101201,,
42183,53291,0,8,,0,,,,0,,,,7596,23998,,load,20101201,,
42184,53292,0,8,,0,,,,0,,,,7596,23999,,load,20101201,,
42185,53293,0,8,,0,,,,0,,,,7596,24000,,load,20101201,,
42186,53294,0,8,,0,,,,0,,,,7596,24001,,load,20101201,,
42187,53295,0,8,,0,,,,0,,,,7596,24002,,load,20101201,,
42188,53296,0,8,,0,,,,0,,,,7596,24003,,load,20101201,,
42189,53297,0,8,,0,,,,0,,,,7596,24004,,load,20101201,,
42190,53298,0,8,,0,,,,0,,,,7596,24005,,load,20101201,,
42191,53299,0,8,,0,,,,0,,,,7596,24006,,load,20101201,,
42192,53300,0,8,,0,,,,0,,,,7596,24007,,load,20101201,,
42193,53300,0,183,,0,,,,0,,,,7596,24007,,load,20101201,,
42194,53301,0,8,,0,,,,0,,,,7596,24008,,load,20101201,,
42195,53302,0,8,,0,,,,0,,,,7596,24009,,load,20101201,,
42196,53303,0,8,,0,,,,0,,,,7596,24010,,load,20101201,,
42197,53304,0,8,,0,,,,0,,,,7596,24011,,load,20101201,,
42198,53305,0,8,,0,,,,0,,,,7596,24012,,load,20101201,,
42199,53306,0,8,,0,,,,0,,,,7596,24013,,load,20101201,,
42200,53306,0,146,,0,,,,0,,,,7596,24013,,load,20101201,,
42201,53307,0,8,,0,,,,0,,,,7596,24014,,load,20101201,,
42202,53308,0,8,,0,,,,0,,,,7596,24015,,load,20101201,,
42203,53309,0,8,,0,,,,0,,,,7596,24016,,load,20101201,,
42204,53310,0,8,,0,,,,0,,,,7596,24017,,load,20101201,,
42205,53311,0,8,,0,,,,0,,,,7596,24019,,load,20101201,,
42206,53312,0,8,,0,,,,0,,,,7596,24020,,load,20101201,,
42207,53313,0,8,,0,,,,0,,,,7596,24021,,load,20101201,,
42208,53314,0,8,,0,,,,0,,,,7596,24022,,load,20101201,,
42209,53315,0,8,,0,,,,0,,,,7596,24023,,load,20101201,,
42210,53315,0,114,,0,,,,0,,,,7596,24023,,load,20101201,,
42211,53316,0,8,,0,,,,0,,,,7596,24024,,load,20101201,,
42212,53317,0,8,,0,,,,0,,,,7596,24025,,load,20101201,,
42213,53318,0,8,,0,,,,0,,,,7596,24026,,load,20101201,,
42214,53319,0,8,,0,,,,0,,,,7596,24027,,load,20101201,,
42215,53320,0,8,,0,,,,0,,,,7596,24028,,load,20101201,,
42216,53321,0,8,,0,,,,0,,,,7596,24029,,load,20101201,,
42217,53322,0,8,,0,,,,0,,,,7596,24030,,load,20101201,,
42218,53323,0,8,,0,,,,0,,,,7596,24031,,load,20101201,,
42219,53324,0,8,,0,,,,0,,,,7596,24033,,load,20101201,,
42220,53324,0,71,,0,,,,0,,,,7596,24033,,load,20101201,,
42221,53325,0,8,,0,,,,0,,,,7596,24034,,load,20101201,,
42222,53326,0,8,,0,,,,0,,,,7596,24035,,load,20101201,,
42223,53327,0,8,,0,,,,0,,,,7596,24036,,load,20101201,,
42224,53327,0,71,,0,,,,0,,,,7596,24036,,load,20101201,,
42225,53328,0,8,,0,,,,0,,,,7596,24037,,load,20101201,,
42226,53328,0,71,,0,,,,0,,,,7596,24037,,load,20101201,,
42227,53329,0,8,,0,,,,0,,,,7596,24038,,load,20101201,,
42228,53330,0,8,,0,,,,0,,,,7596,24040,,load,20101201,,
42229,53331,0,8,,0,,,,0,,,,7596,24041,,load,20101201,,
42230,53332,0,8,,0,,,,0,,,,7596,24042,,load,20101201,,
42231,53333,0,8,,0,,,,0,,,,7596,24043,,load,20101201,,
42232,53334,0,8,,0,,,,0,,,,7596,24044,,load,20101201,,
42233,53335,0,8,,0,,,,0,,,,7596,24045,,load,20101201,,
42234,53336,0,8,,0,,,,0,,,,7596,24046,,load,20101201,,
42235,53337,0,8,,0,,,,0,,,,7596,24047,,load,20101201,,
42236,53338,0,8,,0,,,,0,,,,7596,24048,,load,20101201,,
42237,53339,0,8,,0,,,,0,,,,7596,24049,,load,20101201,,
42238,53340,0,8,,0,,,,0,,,,7596,24050,,load,20101201,,
42239,53341,0,8,,0,,,,0,,,,7596,24051,,load,20101201,,
42240,53342,0,8,,0,,,,0,,,,7596,24052,,load,20101201,,
42241,53343,0,8,,0,,,,0,,,,7596,24053,,load,20101201,,
42242,53344,0,8,,0,,,,0,,,,7596,24054,,load,20101201,,
42243,53345,0,8,,0,,,,0,,,,7596,24055,,load,20101201,,
42244,53346,0,8,,0,,,,0,,,,7596,24056,,load,20101201,,
